Periodo,Region,Banda_Ancha
2025-ANUAL,AND,96.5
2025-ANUAL,ARA,97.6
2025-ANUAL,AST,95.0
2025-ANUAL,CAN,97.3
2025-ANUAL,CANT,96.6
2025-ANUAL,CASTL,95.9
2025-ANUAL,CASTM,96.3
2025-ANUAL,CAT,98.5
2025-ANUAL,EXT,96.5
2025-ANUAL,GAL,96.5
2025-ANUAL,MAD,98.6
2025-ANUAL,MUR,98.4
2025-ANUAL,NAV,97.0
2025-ANUAL,PVA,97.5
2025-ANUAL,VAL,97.9
2006-ANUAL,AND,23.3
2006-ANUAL,ARA,28.3
2006-ANUAL,AST,30.6
2006-ANUAL,CAN,33.2
2006-ANUAL,CANT,31.6
2006-ANUAL,CASTL,23.1
2006-ANUAL,CASTM,19.9
2006-ANUAL,CAT,35.8
2006-ANUAL,EXT,15.6
2006-ANUAL,GAL,19.5
2006-ANUAL,MAD,38.8
2006-ANUAL,MUR,25.3
2006-ANUAL,NAV,25.5
2006-ANUAL,PVA,29.1
2006-ANUAL,VAL,23.7
