Periodo,Region,Denuncias,Victimas,Victimas_10k
2018-10-01,AND,8615,8415,0.19411334835491534
2018-10-01,ARA,1037,893,0.13464409028542135
2018-10-01,AST,795,707,0.1315334154409439
2018-10-01,BAL,1356,1391,0.24528085627881963
2018-10-01,CAN,2128,2226,0.20732955619739338
2018-10-01,CAT,5693,5128,0.13251539703323661
2018-10-01,CLM,1465,1329,0.13124525976488433
2018-10-01,CNT,479,483,0.1617196524534177
2018-10-01,CYL,1328,1262,0.1029603345106849
2018-10-01,EXT,644,616,0.11373539534128004
2018-10-01,GAL,1774,1725,0.12311456291832186
2018-10-01,MAD,6848,6467,0.18853089624037267
2018-10-01,MUR,1720,1462,0.19800478353553655
2018-10-01,NAV,526,487,0.14889096106516653
2018-10-01,PVA,1351,1341,0.11863708023617714
2018-10-01,RIO,217,214,0.1338194188235147
2018-10-01,VAL,5738,5668,0.22516009089031194
2019-01-01,AND,8316,8129,0.1869132231965541
2019-01-01,ARA,1119,919,0.13753140849222775
2019-01-01,AST,742,655,0.1225265536554067
2019-01-01,BAL,1202,1338,0.23209382280035595
2019-01-01,CAN,2246,2254,0.2073589425613889
2019-01-01,CAT,5429,5074,0.12997865112182796
2019-01-01,CLM,1464,1394,0.1372763350960639
2019-01-01,CNT,452,435,0.14538235559521542
2019-01-01,CYL,1331,1227,0.10078699281019929
2019-01-01,EXT,603,575,0.10671071189963625
2019-01-01,GAL,1736,1520,0.10855219932469105
2019-01-01,MAD,6472,6204,0.17852086656860103
2019-01-01,MUR,1491,1429,0.19155136498778844
2019-01-01,NAV,480,483,0.14619396276442795
2019-01-01,PVA,1407,1418,0.12500881585443263
2019-01-01,RIO,203,189,0.11775407466480586
2019-01-01,VAL,5626,5376,0.2119161858870758
2019-04-01,AND,8516,8226,0.18914358150016658
2019-04-01,ARA,881,656,0.09817258321099173
2019-04-01,AST,697,697,0.13038321816460835
2019-04-01,BAL,1407,1261,0.21873715287836237
2019-04-01,CAN,2471,2462,0.22649410673741768
2019-04-01,CAT,5502,5258,0.13469210634579648
2019-04-01,CLM,1409,1349,0.13284488955852955
2019-04-01,CNT,490,490,0.16376403273943807
2019-04-01,CYL,1238,1235,0.10144412071768225
2019-04-01,EXT,632,628,0.11654665577908098
2019-04-01,GAL,1607,1545,0.11033759733989978
2019-04-01,MAD,6208,5928,0.170578932465936
2019-04-01,MUR,1478,1478,0.19811960633446557
2019-04-01,NAV,455,447,0.13529751833478115
2019-04-01,PVA,1449,1402,0.12359827914521476
2019-04-01,RIO,205,205,0.12772267357822858
2019-04-01,VAL,5850,5456,0.2150697005580144
2019-07-01,AND,9218,8821,0.2028246453212946
2019-07-01,ARA,1231,1063,0.15908148773366496
2019-07-01,AST,735,735,0.13749162891102887
2019-07-01,BAL,2033,1943,0.3370390864731626
2019-07-01,CAN,2702,2690,0.24746919054575697
2019-07-01,CAT,6015,5902,0.15118919962968635
2019-07-01,CLM,1637,1609,0.15844879710872797
2019-07-01,CNT,565,553,0.1848194083773658
2019-07-01,CYL,1427,1427,0.11721519049727332
2019-07-01,EXT,660,654,0.12137183579541237
2019-07-01,GAL,1680,1499,0.10705246499191572
2019-07-01,MAD,6779,6297,0.18119695305971645
2019-07-01,MUR,1725,1725,0.23122890455138911
2019-07-01,NAV,571,554,0.16768417261178692
2019-07-01,PVA,1614,1519,0.13391282883137035
2019-07-01,RIO,220,220,0.13706823505956237
2019-07-01,VAL,6310,6138,0.24195341312776625
2019-10-01,AND,8579,8027,0.18446381285115515
2019-10-01,ARA,1013,819,0.12249531481595041
2019-10-01,AST,715,701,0.13111062482348695
2019-10-01,BAL,1851,1773,0.30743727707329427
2019-10-01,CAN,2367,2367,0.2176715853517231
2019-10-01,CAT,5562,5422,0.13884428902351645
2019-10-01,CLM,1541,1510,0.1486353600568555
2019-10-01,CNT,497,487,0.16272550179265363
2019-10-01,CYL,1274,1273,0.10450298691373044
2019-10-01,EXT,618,618,0.11461211772778694
2019-10-01,GAL,1528,1433,0.1023180427479499
2019-10-01,MAD,6707,6535,0.18799901728440238
2019-10-01,MUR,1732,1732,0.2320835393543736
2019-10-01,NAV,451,435,0.13158571372393618
2019-10-01,PVA,1457,1374,0.1210890612689499
2019-10-01,RIO,194,194,0.12078272184486269
2019-10-01,VAL,6146,5987,0.23585472420518694
2020-01-01,AND,7442,6955,0.15887261888092
2020-01-01,ARA,708,599,0.08891448623309846
2020-01-01,AST,665,621,0.11676905112453673
2020-01-01,BAL,1391,1225,0.20252720891053588
2020-01-01,CAN,2092,2084,0.18463997420001896
2020-01-01,CAT,4783,4694,0.12007857549051484
2020-01-01,CLM,1232,1201,0.11789454671460979
2020-01-01,CNT,453,453,0.1517318533057782
2020-01-01,CYL,1207,1207,0.09925399153997459
2020-01-01,EXT,546,528,0.09869952164379565
2020-01-01,GAL,1397,1370,0.09797933708753917
2020-01-01,MAD,5575,5445,0.1549802894673175
2020-01-01,MUR,1499,1491,0.1982926352439558
2020-01-01,NAV,475,462,0.13912058924495463
2020-01-01,PVA,1287,1238,0.10954375644830472
2020-01-01,RIO,195,195,0.12166968241093155
2020-01-01,VAL,5238,5069,0.19861459560634268
2020-04-01,AND,6907,6565,0.15003094316786736
2020-04-01,ARA,847,728,0.10816930874165513
2020-04-01,AST,697,683,0.12822077251607453
2020-04-01,BAL,1371,1347,0.22950747049372222
2020-04-01,CAN,2204,2159,0.19645525206146075
2020-04-01,CAT,4469,4432,0.11213482492216725
2020-04-01,CLM,1326,1287,0.126051778191965
2020-04-01,CNT,385,385,0.12821409422570343
2020-04-01,CYL,985,985,0.08105835049136996
2020-04-01,EXT,520,506,0.09414408883034342
2020-04-01,GAL,1489,1489,0.10628896607747317
2020-04-01,MAD,5103,4999,0.14140526681581306
2020-04-01,MUR,1378,1378,0.1826781841417307
2020-04-01,NAV,468,458,0.1372021544932208
2020-04-01,PVA,1286,1244,0.10905077611016584
2020-04-01,RIO,183,183,0.11299504797658594
2020-04-01,VAL,4958,4510,0.1759043766647048
2020-07-01,AND,9251,8776,0.20055926233681706
2020-07-01,ARA,865,665,0.09880850317747344
2020-07-01,AST,766,766,0.1438025062186136
2020-07-01,BAL,1741,1669,0.2843711716807887
2020-07-01,CAN,2520,2517,0.22903097241255055
2020-07-01,CAT,5795,5714,0.1445709362827761
2020-07-01,CLM,1584,1540,0.15083118758012906
2020-07-01,CNT,462,462,0.15385691307084412
2020-07-01,CYL,1357,1356,0.11158895763075906
2020-07-01,EXT,628,625,0.11628469470151115
2020-07-01,GAL,1767,1764,0.12591923180702663
2020-07-01,MAD,6070,5936,0.1679099147466826
2020-07-01,MUR,1728,1630,0.21608522507330988
2020-07-01,NAV,435,435,0.13031208996626864
2020-07-01,PVA,1457,1457,0.12772265337018618
2020-07-01,RIO,184,184,0.11361250725514653
2020-07-01,VAL,6244,6017,0.23468218057461834
2020-10-01,AND,7798,7420,0.1694690730361458
2020-10-01,ARA,857,715,0.10618785597065353
2020-10-01,AST,522,522,0.09798805371697597
2020-10-01,BAL,1377,1307,0.22256468765166157
2020-10-01,CAN,2110,2095,0.19049489573700612
2020-10-01,CAT,4879,4807,0.12158800459843962
2020-10-01,CLM,1399,1388,0.13588113728987616
2020-10-01,CNT,368,368,0.12252535409161434
2020-10-01,CYL,1210,1196,0.09834943983579919
2020-10-01,EXT,568,567,0.10544933131733554
2020-10-01,GAL,1425,1429,0.10195010794297643
2020-10-01,MAD,5715,5485,0.15511461089139292
2020-10-01,MUR,1498,1498,0.19852839830787009
2020-10-01,NAV,418,418,0.12516056783373408
2020-10-01,PVA,1325,1323,0.11594563613227094
2020-10-01,RIO,206,206,0.12709851368776953
2020-10-01,VAL,5514,5301,0.2066479756996638
2021-01-01,AND,7210,7047,0.16091925150968836
2021-01-01,ARA,802,672,0.10021340085807724
2021-01-01,AST,616,614,0.11606673648314007
2021-01-01,BAL,1147,1086,0.1847696079515584
2021-01-01,CAN,1995,1993,0.18152423890520755
2021-01-01,CAT,4768,4693,0.11910620349674292
2021-01-01,CLM,1316,1303,0.12742516094394368
2021-01-01,CNT,383,383,0.12723238014244712
2021-01-01,CYL,1164,1164,0.09627258042771823
2021-01-01,EXT,539,539,0.10071923625294542
2021-01-01,GAL,1434,1434,0.10260130805935422
2021-01-01,MAD,5580,5472,0.15552391265422363
2021-01-01,MUR,1491,1491,0.1967628486404096
2021-01-01,NAV,389,389,0.1165298663950632
2021-01-01,PVA,1203,1203,0.10581442805674397
2021-01-01,RIO,170,168,0.10392438263967932
2021-01-01,VAL,4794,4699,0.18340495454882536
2021-04-01,AND,8476,8376,0.19126715632824606
2021-04-01,ARA,894,801,0.11945079477279742
2021-04-01,AST,661,656,0.12400615493964151
2021-04-01,BAL,1574,1510,0.2569080184225167
2021-04-01,CAN,2280,2277,0.2073912152469431
2021-04-01,CAT,5400,5344,0.13562828712691116
2021-04-01,CLM,1581,1539,0.15050446868206396
2021-04-01,CNT,474,474,0.1574625279047518
2021-04-01,CYL,1243,1236,0.10222758540262863
2021-04-01,EXT,648,645,0.1205267298388679
2021-04-01,GAL,1649,1636,0.11705421198403311
2021-04-01,MAD,6504,6407,0.1820982654195195
2021-04-01,MUR,1636,1636,0.21589806866244812
2021-04-01,NAV,446,446,0.13360493679228325
2021-04-01,PVA,1403,1400,0.12314231029047512
2021-04-01,RIO,196,196,0.12124511307962588
2021-04-01,VAL,5656,5589,0.21814221982834328
2021-07-01,AND,9482,8858,0.20227369517139487
2021-07-01,ARA,1372,1254,0.18700536410123345
2021-07-01,AST,631,628,0.11871320930197389
2021-07-01,BAL,2013,1901,0.3234318827954995
2021-07-01,CAN,2439,2422,0.22059794612564612
2021-07-01,CAT,6054,6002,0.15232802757030706
2021-07-01,CLM,1742,1694,0.16566248859481242
2021-07-01,CNT,505,505,0.16776071010949292
2021-07-01,CYL,1430,1430,0.11827301547391503
2021-07-01,EXT,704,704,0.13155165551405118
2021-07-01,GAL,1620,1597,0.11426379984015947
2021-07-01,MAD,6964,6767,0.19233010177835
2021-07-01,MUR,1933,1933,0.2550922779489683
2021-07-01,NAV,358,358,0.10724342460008388
2021-07-01,PVA,1322,1322,0.11628152443143437
2021-07-01,RIO,223,223,0.13794724600386005
2021-07-01,VAL,6299,6232,0.2432389182269163
2021-10-01,AND,8788,8464,0.19310820013985744
2021-10-01,ARA,940,834,0.12428969334424221
2021-10-01,AST,624,622,0.11755211886749306
2021-10-01,BAL,1629,1561,0.2654062279501152
2021-10-01,CAN,2288,2279,0.2074148770800645
2021-10-01,CAT,5635,5587,0.1416750622728717
2021-10-01,CLM,1904,1876,0.18330444366710508
2021-10-01,CNT,536,457,0.15176220158138207
2021-10-01,CYL,1333,1329,0.10983244147848185
2021-10-01,EXT,701,701,0.1308995845198637
2021-10-01,GAL,1556,1552,0.11098842630997809
2021-10-01,MAD,6406,6246,0.1773650303516831
2021-10-01,MUR,1690,1676,0.22107201460447104
2021-10-01,NAV,437,437,0.13081012476352402
2021-10-01,PVA,1429,1429,0.12561444715578654
2021-10-01,RIO,234,234,0.14446852253153306
2021-10-01,VAL,5905,5720,0.22285042840267671
2022-01-01,AND,9149,8875,0.20205124702614713
2022-01-01,ARA,973,863,0.12873987087226857
2022-01-01,AST,737,706,0.1343566770130189
2022-01-01,BAL,1443,1348,0.22818142115722512
2022-01-01,CAN,2155,2147,0.19491124593405337
2022-01-01,CAT,5098,5032,0.12725912126969804
2022-01-01,CLM,1495,1451,0.1416007619701926
2022-01-01,CNT,514,454,0.15053799094782566
2022-01-01,CYL,1279,1275,0.10594391038557767
2022-01-01,EXT,700,700,0.13132887940819454
2022-01-01,GAL,1695,1616,0.11583465463209594
2022-01-01,MAD,6534,6438,0.18304234112234694
2022-01-01,MUR,1730,1730,0.22638615720621164
2022-01-01,NAV,458,458,0.1366063172965073
2022-01-01,PVA,1448,1448,0.12767428244937115
2022-01-01,RIO,208,203,0.12541470255710074
2022-01-01,VAL,6149,5737,0.221988423479774
2022-04-01,AND,9423,9372,0.21336611685961138
2022-04-01,ARA,1074,981,0.14634277326268302
2022-04-01,AST,773,773,0.14710723984569915
2022-04-01,BAL,1752,1631,0.2760859776761381
2022-04-01,CAN,2376,2366,0.21479273771773186
2022-04-01,CAT,5784,5707,0.1443298499773781
2022-04-01,CLM,1643,1596,0.155751079327655
2022-04-01,CNT,546,525,0.1740802758757896
2022-04-01,CYL,1400,1400,0.11633056826651665
2022-04-01,EXT,885,875,0.1641610992602432
2022-04-01,GAL,1813,1811,0.1298122274373303
2022-04-01,MAD,6958,6878,0.1955522246411156
2022-04-01,MUR,2180,2180,0.28527272988990826
2022-04-01,NAV,498,498,0.1485370000298267
2022-04-01,PVA,1495,1472,0.1297904307772613
2022-04-01,RIO,234,226,0.13962425013746194
2022-04-01,VAL,6909,6252,0.2419159183537645
2022-07-01,AND,10541,10436,0.23758950016505592
2022-07-01,ARA,1273,1192,0.17781914957096656
2022-07-01,AST,814,657,0.12503163852344676
2022-07-01,BAL,2195,2080,0.3520900267114453
2022-07-01,CAN,2562,2544,0.23095212373368967
2022-07-01,CAT,6303,6196,0.15669664455227525
2022-07-01,CLM,1687,1659,0.16189914824848348
2022-07-01,CNT,579,554,0.18369613873369034
2022-07-01,CYL,1576,1564,0.1299578634063086
2022-07-01,EXT,825,821,0.15403001427732532
2022-07-01,GAL,1854,1854,0.13289446144053582
2022-07-01,MAD,7821,7387,0.21002388534805483
2022-07-01,MUR,1969,1969,0.25766147025377495
2022-07-01,NAV,656,656,0.1956631968264384
2022-07-01,PVA,1590,1590,0.1401948267227211
2022-07-01,RIO,237,232,0.1433310886366866
2022-07-01,VAL,6997,6564,0.2539884977725704
2022-10-01,AND,9640,9261,0.21083905337567874
2022-10-01,ARA,1134,1032,0.15395080734667574
2022-10-01,AST,810,807,0.15357767471601452
2022-10-01,BAL,1610,1457,0.2466322927493153
2022-10-01,CAN,2664,2664,0.24184609183433545
2022-10-01,CAT,5836,5803,0.14675768694913707
2022-10-01,CLM,1508,1445,0.14101523159678037
2022-10-01,CNT,579,554,0.18369613873369034
2022-10-01,CYL,1410,1403,0.11657984805565919
2022-10-01,EXT,746,741,0.13902099948781738
2022-10-01,GAL,1633,1631,0.1169098525401909
2022-10-01,MAD,6456,5987,0.17021971051560905
2022-10-01,MUR,2025,2025,0.264989577076635
2022-10-01,NAV,740,740,0.22071763056640917
2022-10-01,PVA,1562,1562,0.13772598700684927
2022-10-01,RIO,214,208,0.12850373463978798
2022-10-01,VAL,6511,6184,0.23928471514710167
2023-01-01,AND,9539,9308,0.20963071616996484
2023-01-01,ARA,1192,1121,0.1641060174646279
2023-01-01,AST,838,836,0.15875728745323686
2023-01-01,BAL,1688,1576,0.2601643195200827
2023-01-01,CAN,2507,2507,0.22375338039859696
2023-01-01,CAT,5761,5714,0.1423627989114254
2023-01-01,CLM,1499,1488,0.14345182891441285
2023-01-01,CNT,625,582,0.191854427980419
2023-01-01,CYL,1607,1607,0.13265215995192495
2023-01-01,EXT,934,719,0.13498291593136336
2023-01-01,GAL,1747,1732,0.12364804568980904
2023-01-01,MAD,6812,6593,0.18462946409568806
2023-01-01,MUR,2044,2044,0.2640400452123365
2023-01-01,NAV,717,717,0.2110816388413767
2023-01-01,PVA,1490,1490,0.13050199475364463
2023-01-01,RIO,231,231,0.14150683337110934
2023-01-01,VAL,7212,6795,0.25617670499829215
2023-04-01,AND,10233,9726,0.21904472985271572
2023-04-01,ARA,1357,1221,0.17874526969162413
2023-04-01,AST,742,742,0.14090658766782505
2023-04-01,BAL,2012,1902,0.3139800353598967
2023-04-01,CAN,2818,2818,0.2515105807591728
2023-04-01,CAT,5852,5810,0.14475461352386795
2023-04-01,CLM,1581,1525,0.14701884347747285
2023-04-01,CNT,593,539,0.17767961629114404
2023-04-01,CYL,1584,1584,0.13075359139007411
2023-04-01,EXT,1000,733,0.18548417376938384
2023-04-01,GAL,1707,1678,0.11979296805282884
2023-04-01,MAD,7303,7216,0.20207587030403232
2023-04-01,MUR,1992,1992,0.2573227837881479
2023-04-01,NAV,677,677,0.19930581519611162
2023-04-01,PVA,1637,1637,0.14337702376625253
2023-04-01,RIO,254,244,0.14947042139632327
2023-04-01,VAL,6885,6764,0.2550079812521631
2023-07-01,AND,10562,10429,0.23487738922825133
2023-07-01,ARA,1558,1451,0.21241554981371552
2023-07-01,AST,905,905,0.17186046069997532
2023-07-01,BAL,2291,2229,0.367960830082655
2023-07-01,CAN,2985,2985,0.2664155725926653
2023-07-01,CAT,6906,6850,0.17066593849199577
2023-07-01,CLM,1808,1775,0.17112029322787825
2023-07-01,CNT,635,626,0.20635888645316544
2023-07-01,CYL,1686,1686,0.13917333022958644
2023-07-01,EXT,1153,754,0.21570983366500204
2023-07-01,GAL,1856,1856,0.13250044618954132
