ESTU,CCAA,ABSTENCION_HOMOG,N_MUESTRA,FECHA,TERRITORIO,ABSTENCION_ESCALA,FUENTE_HOMOG
3261.0,1.0,20.093808630393998,1079,2019-09,Andalucía,20.093808630393998,Escala 0-10
3261.0,2.0,26.274509803921568,170,2019-09,Aragón,26.274509803921568,Escala 0-10
3261.0,3.0,18.285714285714285,149,2019-09,Asturias,18.285714285714285,Escala 0-10
3261.0,4.0,22.520325203252032,127,2019-09,Baleares,22.520325203252032,Escala 0-10
3261.0,5.0,18.764940239043824,253,2019-09,Canarias,18.764940239043824,Escala 0-10
3261.0,6.0,18.625,80,2019-09,Cantabria,18.625,Escala 0-10
3261.0,7.0,25.691056910569106,265,2019-09,Castilla-La Mancha,25.691056910569106,Escala 0-10
3261.0,8.0,30.694864048338367,338,2019-09,Castilla y León,30.694864048338367,Escala 0-10
3261.0,9.0,19.93288590604027,902,2019-09,Cataluña,19.93288590604027,Escala 0-10
3261.0,10.0,22.705479452054796,612,2019-09,C. Valenciana,22.705479452054796,Escala 0-10
3261.0,11.0,25.4,151,2019-09,Extremadura,25.4,Escala 0-10
3261.0,12.0,25.49738219895288,389,2019-09,Galicia,25.49738219895288,Escala 0-10
3261.0,13.0,20.026315789473685,790,2019-09,Madrid,20.026315789473685,Escala 0-10
3261.0,14.0,31.228070175438596,173,2019-09,Murcia,31.228070175438596,Escala 0-10
3261.0,15.0,17.916666666666668,75,2019-09,Navarra,17.916666666666668,Escala 0-10
3261.0,16.0,24.041095890410958,297,2019-09,País Vasco,24.041095890410958,Escala 0-10
3261.0,17.0,28.0,37,2019-09,La Rioja,28.0,Escala 0-10
3267.0,1.0,16.339563862928348,651,2019-11,Andalucía,16.339563862928348,Escala 0-10
3267.0,2.0,18.071065989847718,200,2019-11,Aragón,18.071065989847718,Escala 0-10
3267.0,3.0,21.71717171717172,200,2019-11,Asturias,21.71717171717172,Escala 0-10
3267.0,4.0,21.979166666666664,194,2019-11,Baleares,21.979166666666664,Escala 0-10
3267.0,5.0,18.54054054054054,185,2019-11,Canarias,18.54054054054054,Escala 0-10
3267.0,6.0,16.200000000000006,200,2019-11,Cantabria,16.200000000000006,Escala 0-10
3267.0,7.0,17.20430107526882,191,2019-11,Castilla-La Mancha,17.20430107526882,Escala 0-10
3267.0,8.0,20.509259259259256,220,2019-11,Castilla y León,20.509259259259256,Escala 0-10
3267.0,9.0,13.903281519861826,586,2019-11,Cataluña,13.903281519861826,Escala 0-10
3267.0,10.0,17.748691099476442,394,2019-11,C. Valenciana,17.748691099476442,Escala 0-10
3267.0,11.0,15.555555555555555,198,2019-11,Extremadura,15.555555555555555,Escala 0-10
3267.0,12.0,20.12048192771084,250,2019-11,Galicia,20.12048192771084,Escala 0-10
3267.0,13.0,15.247524752475252,516,2019-11,Madrid,15.247524752475252,Escala 0-10
3267.0,14.0,18.020833333333332,192,2019-11,Murcia,18.020833333333332,Escala 0-10
3267.0,15.0,10.473372781065088,170,2019-11,Navarra,10.473372781065088,Escala 0-10
3267.0,16.0,16.78756476683937,195,2019-11,País Vasco,16.78756476683937,Escala 0-10
3267.0,17.0,13.172043010752692,188,2019-11,La Rioja,13.172043010752692,Escala 0-10
3271.0,1.0,21.96078431372549,517,2020-01,Andalucía,21.96078431372549,Escala 0-10
3271.0,2.0,26.50602409638554,85,2020-01,Aragón,26.50602409638554,Escala 0-10
3271.0,3.0,29.041095890410958,74,2020-01,Asturias,29.041095890410958,Escala 0-10
3271.0,4.0,30.158730158730158,66,2020-01,Baleares,30.158730158730158,Escala 0-10
3271.0,5.0,20.64814814814815,111,2020-01,Canarias,20.64814814814815,Escala 0-10
3271.0,6.0,16.5,40,2020-01,Cantabria,16.5,Escala 0-10
3271.0,7.0,31.84,132,2020-01,Castilla-La Mancha,31.84,Escala 0-10
3271.0,8.0,27.333333333333332,170,2020-01,Castilla y León,27.333333333333332,Escala 0-10
3271.0,9.0,17.228381374722836,455,2020-01,Cataluña,17.228381374722836,Escala 0-10
3271.0,10.0,22.635135135135137,304,2020-01,C. Valenciana,22.635135135135137,Escala 0-10
3271.0,11.0,32.93333333333333,76,2020-01,Extremadura,32.93333333333333,Escala 0-10
3271.0,12.0,27.447916666666668,194,2020-01,Galicia,27.447916666666668,Escala 0-10
3271.0,13.0,15.089058524173028,405,2020-01,Madrid,15.089058524173028,Escala 0-10
3271.0,14.0,27.92207792207792,85,2020-01,Murcia,27.92207792207792,Escala 0-10
3271.0,15.0,5.675675675675675,40,2020-01,Navarra,5.675675675675675,Escala 0-10
3271.0,16.0,18.47826086956522,144,2020-01,País Vasco,18.47826086956522,Escala 0-10
3271.0,17.0,35.5,21,2020-01,La Rioja,35.5,Escala 0-10
3273.0,1.0,23.559322033898304,536,2020-02,Andalucía,23.559322033898304,Escala 0-10
3273.0,2.0,20.240963855421686,85,2020-02,Aragón,20.240963855421686,Escala 0-10
3273.0,3.0,21.857142857142858,74,2020-02,Asturias,21.857142857142858,Escala 0-10
3273.0,4.0,26.21212121212121,66,2020-02,Baleares,26.21212121212121,Escala 0-10
3273.0,5.0,22.348484848484848,132,2020-02,Canarias,22.348484848484848,Escala 0-10
3273.0,6.0,20.0,40,2020-02,Cantabria,20.0,Escala 0-10
3273.0,7.0,16.585365853658537,132,2020-02,Castilla-La Mancha,16.585365853658537,Escala 0-10
3273.0,8.0,23.154761904761905,171,2020-02,Castilla y León,23.154761904761905,Escala 0-10
3273.0,9.0,14.295454545454545,448,2020-02,Cataluña,14.295454545454545,Escala 0-10
3273.0,10.0,19.693877551020407,297,2020-02,C. Valenciana,19.693877551020407,Escala 0-10
