Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-01,Andalucía,AMB_NO2,26.98,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-02-01,2016-02,Andalucía,AMB_NO2,26.36,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-03-01,2016-03,Andalucía,AMB_NO2,28.47,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-04-01,2016-04,Andalucía,AMB_NO2,27.37,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-05-01,2016-05,Andalucía,AMB_NO2,26.87,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-06-01,2016-06,Andalucía,AMB_NO2,24.39,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-07-01,2016-07,Andalucía,AMB_NO2,22.46,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-08-01,2016-08,Andalucía,AMB_NO2,19.81,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-09-01,2016-09,Andalucía,AMB_NO2,25.23,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-10-01,2016-10,Andalucía,AMB_NO2,22.97,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-11-01,2016-11,Andalucía,AMB_NO2,32.93,Mensual,EEA Air Quality - NO2 Monthly Mean
2016-12-01,2016-12,Andalucía,AMB_NO2,29.56,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-01-01,2017-01,Andalucía,AMB_NO2,26.92,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-02-01,2017-02,Andalucía,AMB_NO2,28.44,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-03-01,2017-03,Andalucía,AMB_NO2,25.74,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-04-01,2017-04,Andalucía,AMB_NO2,22.81,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-05-01,2017-05,Andalucía,AMB_NO2,22.03,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-06-01,2017-06,Andalucía,AMB_NO2,22.78,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-07-01,2017-07,Andalucía,AMB_NO2,22.78,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-08-01,2017-08,Andalucía,AMB_NO2,20.53,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-09-01,2017-09,Andalucía,AMB_NO2,23.09,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-10-01,2017-10,Andalucía,AMB_NO2,25.2,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-11-01,2017-11,Andalucía,AMB_NO2,25.06,Mensual,EEA Air Quality - NO2 Monthly Mean
2017-12-01,2017-12,Andalucía,AMB_NO2,25.18,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-01-01,2018-01,Andalucía,AMB_NO2,26.64,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-02-01,2018-02,Andalucía,AMB_NO2,28.16,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-03-01,2018-03,Andalucía,AMB_NO2,24.93,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-04-01,2018-04,Andalucía,AMB_NO2,28.43,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-05-01,2018-05,Andalucía,AMB_NO2,26.57,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-06-01,2018-06,Andalucía,AMB_NO2,21.12,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-07-01,2018-07,Andalucía,AMB_NO2,21.54,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-08-01,2018-08,Andalucía,AMB_NO2,18.59,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-09-01,2018-09,Andalucía,AMB_NO2,23.94,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-10-01,2018-10,Andalucía,AMB_NO2,23.13,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-11-01,2018-11,Andalucía,AMB_NO2,29.77,Mensual,EEA Air Quality - NO2 Monthly Mean
2018-12-01,2018-12,Andalucía,AMB_NO2,26.32,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-01-01,2019-01,Andalucía,AMB_NO2,29.76,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-02-01,2019-02,Andalucía,AMB_NO2,32.8,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-03-01,2019-03,Andalucía,AMB_NO2,23.17,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-04-01,2019-04,Andalucía,AMB_NO2,24.71,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-05-01,2019-05,Andalucía,AMB_NO2,25.57,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-06-01,2019-06,Andalucía,AMB_NO2,19.95,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-07-01,2019-07,Andalucía,AMB_NO2,21.82,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-08-01,2019-08,Andalucía,AMB_NO2,21.19,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-09-01,2019-09,Andalucía,AMB_NO2,23.79,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-10-01,2019-10,Andalucía,AMB_NO2,21.18,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-11-01,2019-11,Andalucía,AMB_NO2,28.27,Mensual,EEA Air Quality - NO2 Monthly Mean
2019-12-01,2019-12,Andalucía,AMB_NO2,29.69,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-01-01,2020-01,Andalucía,AMB_NO2,31.95,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-02-01,2020-02,Andalucía,AMB_NO2,30.48,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-03-01,2020-03,Andalucía,AMB_NO2,29.46,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-04-01,2020-04,Andalucía,AMB_NO2,20.7,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-05-01,2020-05,Andalucía,AMB_NO2,25.62,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-06-01,2020-06,Andalucía,AMB_NO2,21.25,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-07-01,2020-07,Andalucía,AMB_NO2,27.27,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-08-01,2020-08,Andalucía,AMB_NO2,18.28,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-09-01,2020-09,Andalucía,AMB_NO2,20.48,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-10-01,2020-10,Andalucía,AMB_NO2,21.2,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-11-01,2020-11,Andalucía,AMB_NO2,21.23,Mensual,EEA Air Quality - NO2 Monthly Mean
2020-12-01,2020-12,Andalucía,AMB_NO2,26.02,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-01-01,2021-01,Andalucía,AMB_NO2,24.72,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-02-01,2021-02,Andalucía,AMB_NO2,27.45,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-03-01,2021-03,Andalucía,AMB_NO2,23.53,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-04-01,2021-04,Andalucía,AMB_NO2,28.13,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-05-01,2021-05,Andalucía,AMB_NO2,25.35,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-06-01,2021-06,Andalucía,AMB_NO2,18.52,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-07-01,2021-07,Andalucía,AMB_NO2,17.55,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-08-01,2021-08,Andalucía,AMB_NO2,21.73,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-09-01,2021-09,Andalucía,AMB_NO2,18.54,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-10-01,2021-10,Andalucía,AMB_NO2,27.99,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-11-01,2021-11,Andalucía,AMB_NO2,30.54,Mensual,EEA Air Quality - NO2 Monthly Mean
2021-12-01,2021-12,Andalucía,AMB_NO2,25.59,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-01-01,2022-01,Andalucía,AMB_NO2,21.26,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-02-01,2022-02,Andalucía,AMB_NO2,30.46,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-03-01,2022-03,Andalucía,AMB_NO2,21.66,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-04-01,2022-04,Andalucía,AMB_NO2,25.71,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-05-01,2022-05,Andalucía,AMB_NO2,17.22,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-06-01,2022-06,Andalucía,AMB_NO2,18.0,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-07-01,2022-07,Andalucía,AMB_NO2,19.82,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-08-01,2022-08,Andalucía,AMB_NO2,19.94,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-09-01,2022-09,Andalucía,AMB_NO2,20.65,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-10-01,2022-10,Andalucía,AMB_NO2,23.87,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-11-01,2022-11,Andalucía,AMB_NO2,23.2,Mensual,EEA Air Quality - NO2 Monthly Mean
2022-12-01,2022-12,Andalucía,AMB_NO2,25.97,Mensual,EEA Air Quality - NO2 Monthly Mean
2023-01-01,2023-01,Andalucía,AMB_NO2,26.16,Mensual,EEA Air Quality - NO2 Monthly Mean
2023-02-01,2023-02,Andalucía,AMB_NO2,27.34,Mensual,EEA Air Quality - NO2 Monthly Mean
2023-03-01,2023-03,Andalucía,AMB_NO2,23.63,Mensual,EEA Air Quality - NO2 Monthly Mean
