Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-M01,AND,AUX_IPC,86.586,Mensual,Andalucía. Índice general. Índice. 
2010-02-01,2010-M02,AND,AUX_IPC,86.501,Mensual,Andalucía. Índice general. Índice. 
2010-03-01,2010-M03,AND,AUX_IPC,87.182,Mensual,Andalucía. Índice general. Índice. 
2010-04-01,2010-M04,AND,AUX_IPC,88.202,Mensual,Andalucía. Índice general. Índice. 
2010-05-01,2010-M05,AND,AUX_IPC,88.402,Mensual,Andalucía. Índice general. Índice. 
2010-06-01,2010-M06,AND,AUX_IPC,88.552,Mensual,Andalucía. Índice general. Índice. 
2010-07-01,2010-M07,AND,AUX_IPC,88.026,Mensual,Andalucía. Índice general. Índice. 
2010-08-01,2010-M08,AND,AUX_IPC,88.289,Mensual,Andalucía. Índice general. Índice. 
2010-09-01,2010-M09,AND,AUX_IPC,88.443,Mensual,Andalucía. Índice general. Índice. 
2010-10-01,2010-M10,AND,AUX_IPC,89.331,Mensual,Andalucía. Índice general. Índice. 
2010-11-01,2010-M11,AND,AUX_IPC,89.862,Mensual,Andalucía. Índice general. Índice. 
2010-12-01,2010-M12,AND,AUX_IPC,90.391,Mensual,Andalucía. Índice general. Índice. 
2011-01-01,2011-M01,AND,AUX_IPC,89.591,Mensual,Andalucía. Índice general. Índice. 
2011-02-01,2011-M02,AND,AUX_IPC,89.7,Mensual,Andalucía. Índice general. Índice. 
2011-03-01,2011-M03,AND,AUX_IPC,90.473,Mensual,Andalucía. Índice general. Índice. 
2011-04-01,2011-M04,AND,AUX_IPC,91.667,Mensual,Andalucía. Índice general. Índice. 
2011-05-01,2011-M05,AND,AUX_IPC,91.664,Mensual,Andalucía. Índice general. Índice. 
2011-06-01,2011-M06,AND,AUX_IPC,91.455,Mensual,Andalucía. Índice general. Índice. 
2011-07-01,2011-M07,AND,AUX_IPC,90.735,Mensual,Andalucía. Índice general. Índice. 
2011-08-01,2011-M08,AND,AUX_IPC,90.864,Mensual,Andalucía. Índice general. Índice. 
2011-09-01,2011-M09,AND,AUX_IPC,91.222,Mensual,Andalucía. Índice general. Índice. 
2011-10-01,2011-M10,AND,AUX_IPC,91.931,Mensual,Andalucía. Índice general. Índice. 
2011-11-01,2011-M11,AND,AUX_IPC,92.293,Mensual,Andalucía. Índice general. Índice. 
2011-12-01,2011-M12,AND,AUX_IPC,92.308,Mensual,Andalucía. Índice general. Índice. 
2012-01-01,2012-M01,AND,AUX_IPC,91.122,Mensual,Andalucía. Índice general. Índice. 
2012-02-01,2012-M02,AND,AUX_IPC,91.234,Mensual,Andalucía. Índice general. Índice. 
