Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-Q1,AND,AUX_POB,8276017.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2010-07-01,2010-Q3,AND,AUX_POB,8302917.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2011-01-01,2011-Q1,AND,AUX_POB,8332087.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2011-07-01,2011-Q3,AND,AUX_POB,8352752.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2012-01-01,2012-Q1,AND,AUX_POB,8377809.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2012-07-01,2012-Q3,AND,AUX_POB,8378277.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2013-01-01,2013-Q1,AND,AUX_POB,8387986.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2013-07-01,2013-Q3,AND,AUX_POB,8381323.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2014-01-01,2014-Q1,AND,AUX_POB,8381239.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2014-07-01,2014-Q3,AND,AUX_POB,8381448.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2015-01-01,2015-Q1,AND,AUX_POB,8388994.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2015-07-01,2015-Q3,AND,AUX_POB,8386083.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2016-01-01,2016-Q1,AND,AUX_POB,8392046.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2016-07-01,2016-Q3,AND,AUX_POB,8390669.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2017-01-01,2017-Q1,AND,AUX_POB,8394017.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2017-07-01,2017-Q3,AND,AUX_POB,8388352.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2018-01-01,2018-Q1,AND,AUX_POB,8396464.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2018-07-01,2018-Q3,AND,AUX_POB,8392082.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2019-01-01,2019-Q1,AND,AUX_POB,8412222.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2019-07-01,2019-Q3,AND,AUX_POB,8432071.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2020-01-01,2020-Q1,AND,AUX_POB,8461039.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2020-07-01,2020-Q3,AND,AUX_POB,8465909.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-01-01,2021-Q1,AND,AUX_POB,8484804.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-04-01,2021-Q2,AND,AUX_POB,8482645.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-07-01,2021-Q3,AND,AUX_POB,8488215.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-10-01,2021-Q4,AND,AUX_POB,8497126.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-01-01,2022-Q1,AND,AUX_POB,8511167.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-04-01,2022-Q2,AND,AUX_POB,8523896.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-07-01,2022-Q3,AND,AUX_POB,8543098.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-10-01,2022-Q4,AND,AUX_POB,8564311.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-01-01,2023-Q1,AND,AUX_POB,8584147.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-04-01,2023-Q2,AND,AUX_POB,8594652.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-07-01,2023-Q3,AND,AUX_POB,8605343.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-10-01,2023-Q4,AND,AUX_POB,8621027.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-01-01,2024-Q1,AND,AUX_POB,8631862.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-04-01,2024-Q2,AND,AUX_POB,8636779.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-07-01,2024-Q3,AND,AUX_POB,8648311.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-10-01,2024-Q4,AND,AUX_POB,8666148.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-01-01,2025-Q1,AND,AUX_POB,8676713.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-04-01,2025-Q2,AND,AUX_POB,8690860.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-07-01,2025-Q3,AND,AUX_POB,8708421.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-10-01,2025-Q4,AND,AUX_POB,8727944.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2026-01-01,2026-Q1,AND,AUX_POB,8733535.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2010-01-01,2010-Q1,ARA,AUX_POB,1344184.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2010-07-01,2010-Q3,ARA,AUX_POB,1343835.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
