Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-Q1,AND,AUX_POB_enlazado,8276017.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2010-04-01,2010-Q2,AND,AUX_POB_enlazado,8289467.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2010-07-01,2010-Q3,AND,AUX_POB_enlazado,8302917.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2010-10-01,2010-Q4,AND,AUX_POB_enlazado,8317502.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2011-01-01,2011-Q1,AND,AUX_POB_enlazado,8332087.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2011-04-01,2011-Q2,AND,AUX_POB_enlazado,8342419.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2011-07-01,2011-Q3,AND,AUX_POB_enlazado,8352752.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2011-10-01,2011-Q4,AND,AUX_POB_enlazado,8365280.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2012-01-01,2012-Q1,AND,AUX_POB_enlazado,8377809.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2012-04-01,2012-Q2,AND,AUX_POB_enlazado,8378043.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2012-07-01,2012-Q3,AND,AUX_POB_enlazado,8378277.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2012-10-01,2012-Q4,AND,AUX_POB_enlazado,8383131.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2013-01-01,2013-Q1,AND,AUX_POB_enlazado,8387986.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2013-04-01,2013-Q2,AND,AUX_POB_enlazado,8384654.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2013-07-01,2013-Q3,AND,AUX_POB_enlazado,8381323.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2013-10-01,2013-Q4,AND,AUX_POB_enlazado,8381281.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2014-01-01,2014-Q1,AND,AUX_POB_enlazado,8381239.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2014-04-01,2014-Q2,AND,AUX_POB_enlazado,8381343.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2014-07-01,2014-Q3,AND,AUX_POB_enlazado,8381448.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2014-10-01,2014-Q4,AND,AUX_POB_enlazado,8385221.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2015-01-01,2015-Q1,AND,AUX_POB_enlazado,8388994.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2015-04-01,2015-Q2,AND,AUX_POB_enlazado,8387538.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2015-07-01,2015-Q3,AND,AUX_POB_enlazado,8386083.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2015-10-01,2015-Q4,AND,AUX_POB_enlazado,8389064.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2016-01-01,2016-Q1,AND,AUX_POB_enlazado,8392046.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2016-04-01,2016-Q2,AND,AUX_POB_enlazado,8391357.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2016-07-01,2016-Q3,AND,AUX_POB_enlazado,8390669.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2016-10-01,2016-Q4,AND,AUX_POB_enlazado,8392343.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2017-01-01,2017-Q1,AND,AUX_POB_enlazado,8394017.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2017-04-01,2017-Q2,AND,AUX_POB_enlazado,8391184.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2017-07-01,2017-Q3,AND,AUX_POB_enlazado,8388352.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2017-10-01,2017-Q4,AND,AUX_POB_enlazado,8392408.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2018-01-01,2018-Q1,AND,AUX_POB_enlazado,8396464.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2018-04-01,2018-Q2,AND,AUX_POB_enlazado,8394273.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2018-07-01,2018-Q3,AND,AUX_POB_enlazado,8392082.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2018-10-01,2018-Q4,AND,AUX_POB_enlazado,8402152.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2019-01-01,2019-Q1,AND,AUX_POB_enlazado,8412222.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2019-04-01,2019-Q2,AND,AUX_POB_enlazado,8422146.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2019-07-01,2019-Q3,AND,AUX_POB_enlazado,8432071.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2019-10-01,2019-Q4,AND,AUX_POB_enlazado,8446555.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2020-01-01,2020-Q1,AND,AUX_POB_enlazado,8461039.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2020-04-01,2020-Q2,AND,AUX_POB_enlazado,8463474.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2020-07-01,2020-Q3,AND,AUX_POB_enlazado,8465909.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2020-10-01,2020-Q4,AND,AUX_POB_enlazado,8475356.5,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-01-01,2021-Q1,AND,AUX_POB_enlazado,8484804.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-04-01,2021-Q2,AND,AUX_POB_enlazado,8482645.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-07-01,2021-Q3,AND,AUX_POB_enlazado,8488215.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2021-10-01,2021-Q4,AND,AUX_POB_enlazado,8497126.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-01-01,2022-Q1,AND,AUX_POB_enlazado,8511167.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-04-01,2022-Q2,AND,AUX_POB_enlazado,8523896.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-07-01,2022-Q3,AND,AUX_POB_enlazado,8543098.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2022-10-01,2022-Q4,AND,AUX_POB_enlazado,8564311.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-01-01,2023-Q1,AND,AUX_POB_enlazado,8584147.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-04-01,2023-Q2,AND,AUX_POB_enlazado,8594652.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-07-01,2023-Q3,AND,AUX_POB_enlazado,8605343.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2023-10-01,2023-Q4,AND,AUX_POB_enlazado,8621027.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-01-01,2024-Q1,AND,AUX_POB_enlazado,8631862.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-04-01,2024-Q2,AND,AUX_POB_enlazado,8636779.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-07-01,2024-Q3,AND,AUX_POB_enlazado,8648311.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2024-10-01,2024-Q4,AND,AUX_POB_enlazado,8666148.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-01-01,2025-Q1,AND,AUX_POB_enlazado,8676713.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-04-01,2025-Q2,AND,AUX_POB_enlazado,8690860.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-07-01,2025-Q3,AND,AUX_POB_enlazado,8708421.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2025-10-01,2025-Q4,AND,AUX_POB_enlazado,8727944.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2026-01-01,2026-Q1,AND,AUX_POB_enlazado,8733535.0,Trimestral,Total. Todas las edades. Andalucía. Población. Número. 
2010-01-01,2010-Q1,ARA,AUX_POB_enlazado,1344184.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2010-04-01,2010-Q2,ARA,AUX_POB_enlazado,1344009.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2010-07-01,2010-Q3,ARA,AUX_POB_enlazado,1343835.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2010-10-01,2010-Q4,ARA,AUX_POB_enlazado,1344115.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2011-01-01,2011-Q1,ARA,AUX_POB_enlazado,1344396.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2011-04-01,2011-Q2,ARA,AUX_POB_enlazado,1344431.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2011-07-01,2011-Q3,ARA,AUX_POB_enlazado,1344466.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2011-10-01,2011-Q4,ARA,AUX_POB_enlazado,1344128.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2012-01-01,2012-Q1,ARA,AUX_POB_enlazado,1343790.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2012-04-01,2012-Q2,ARA,AUX_POB_enlazado,1341888.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2012-07-01,2012-Q3,ARA,AUX_POB_enlazado,1339987.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2012-10-01,2012-Q4,ARA,AUX_POB_enlazado,1338831.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2013-01-01,2013-Q1,ARA,AUX_POB_enlazado,1337675.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2013-04-01,2013-Q2,ARA,AUX_POB_enlazado,1335813.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2013-07-01,2013-Q3,ARA,AUX_POB_enlazado,1333951.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2013-10-01,2013-Q4,ARA,AUX_POB_enlazado,1332332.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2014-01-01,2014-Q1,ARA,AUX_POB_enlazado,1330713.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2014-04-01,2014-Q2,ARA,AUX_POB_enlazado,1329161.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2014-07-01,2014-Q3,ARA,AUX_POB_enlazado,1327609.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2014-10-01,2014-Q4,ARA,AUX_POB_enlazado,1326604.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2015-01-01,2015-Q1,ARA,AUX_POB_enlazado,1325600.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2015-04-01,2015-Q2,ARA,AUX_POB_enlazado,1323243.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2015-07-01,2015-Q3,ARA,AUX_POB_enlazado,1320887.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2015-10-01,2015-Q4,ARA,AUX_POB_enlazado,1319464.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2016-01-01,2016-Q1,ARA,AUX_POB_enlazado,1318042.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2016-04-01,2016-Q2,ARA,AUX_POB_enlazado,1317140.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2016-07-01,2016-Q3,ARA,AUX_POB_enlazado,1316238.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2016-10-01,2016-Q4,ARA,AUX_POB_enlazado,1315824.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2017-01-01,2017-Q1,ARA,AUX_POB_enlazado,1315411.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2017-04-01,2017-Q2,ARA,AUX_POB_enlazado,1315371.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2017-07-01,2017-Q3,ARA,AUX_POB_enlazado,1315332.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2017-10-01,2017-Q4,ARA,AUX_POB_enlazado,1314412.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2018-01-01,2018-Q1,ARA,AUX_POB_enlazado,1313493.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2018-04-01,2018-Q2,ARA,AUX_POB_enlazado,1314685.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2018-07-01,2018-Q3,ARA,AUX_POB_enlazado,1315878.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2018-10-01,2018-Q4,ARA,AUX_POB_enlazado,1318286.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2019-01-01,2019-Q1,ARA,AUX_POB_enlazado,1320694.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2019-04-01,2019-Q2,ARA,AUX_POB_enlazado,1322551.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2019-07-01,2019-Q3,ARA,AUX_POB_enlazado,1324409.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2019-10-01,2019-Q4,ARA,AUX_POB_enlazado,1327500.5,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2020-01-01,2020-Q1,ARA,AUX_POB_enlazado,1330592.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2020-04-01,2020-Q2,ARA,AUX_POB_enlazado,1331068.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2020-07-01,2020-Q3,ARA,AUX_POB_enlazado,1331544.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2020-10-01,2020-Q4,ARA,AUX_POB_enlazado,1331741.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2021-01-01,2021-Q1,ARA,AUX_POB_enlazado,1331938.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2021-04-01,2021-Q2,ARA,AUX_POB_enlazado,1331330.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2021-07-01,2021-Q3,ARA,AUX_POB_enlazado,1330711.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2021-10-01,2021-Q4,ARA,AUX_POB_enlazado,1332211.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2022-01-01,2022-Q1,ARA,AUX_POB_enlazado,1328215.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2022-04-01,2022-Q2,ARA,AUX_POB_enlazado,1329929.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2022-07-01,2022-Q3,ARA,AUX_POB_enlazado,1334478.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2022-10-01,2022-Q4,ARA,AUX_POB_enlazado,1337461.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2023-01-01,2023-Q1,ARA,AUX_POB_enlazado,1341289.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2023-04-01,2023-Q2,ARA,AUX_POB_enlazado,1343282.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2023-07-01,2023-Q3,ARA,AUX_POB_enlazado,1345247.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2023-10-01,2023-Q4,ARA,AUX_POB_enlazado,1348452.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2024-01-01,2024-Q1,ARA,AUX_POB_enlazado,1351591.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2024-04-01,2024-Q2,ARA,AUX_POB_enlazado,1352952.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2024-07-01,2024-Q3,ARA,AUX_POB_enlazado,1356309.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2024-10-01,2024-Q4,ARA,AUX_POB_enlazado,1360820.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2025-01-01,2025-Q1,ARA,AUX_POB_enlazado,1364621.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2025-04-01,2025-Q2,ARA,AUX_POB_enlazado,1366896.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2025-07-01,2025-Q3,ARA,AUX_POB_enlazado,1374302.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2025-10-01,2025-Q4,ARA,AUX_POB_enlazado,1379619.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2026-01-01,2026-Q1,ARA,AUX_POB_enlazado,1381842.0,Trimestral,Total. Todas las edades. Aragón. Población. Número. 
2010-01-01,2010-Q1,AST,AUX_POB_enlazado,1077103.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2010-04-01,2010-Q2,AST,AUX_POB_enlazado,1076634.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2010-07-01,2010-Q3,AST,AUX_POB_enlazado,1076165.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2010-10-01,2010-Q4,AST,AUX_POB_enlazado,1076021.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2011-01-01,2011-Q1,AST,AUX_POB_enlazado,1075877.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2011-04-01,2011-Q2,AST,AUX_POB_enlazado,1075495.5,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2011-07-01,2011-Q3,AST,AUX_POB_enlazado,1075114.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2011-10-01,2011-Q4,AST,AUX_POB_enlazado,1074709.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2012-01-01,2012-Q1,AST,AUX_POB_enlazado,1074304.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2012-04-01,2012-Q2,AST,AUX_POB_enlazado,1072334.5,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2012-07-01,2012-Q3,AST,AUX_POB_enlazado,1070365.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2012-10-01,2012-Q4,AST,AUX_POB_enlazado,1068895.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2013-01-01,2013-Q1,AST,AUX_POB_enlazado,1067425.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2013-04-01,2013-Q2,AST,AUX_POB_enlazado,1065011.5,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2013-07-01,2013-Q3,AST,AUX_POB_enlazado,1062598.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
2013-10-01,2013-Q4,AST,AUX_POB_enlazado,1060579.0,Trimestral,"Total. Todas las edades. Asturias, Principado de. Población. Número. "
