Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2009-01-01,2009-M01,AND,CON_OCI,128178.9,Mensual,SS_Conocimiento
2009-02-01,2009-M02,AND,CON_OCI,128715.5,Mensual,SS_Conocimiento
2009-03-01,2009-M03,AND,CON_OCI,128899.4,Mensual,SS_Conocimiento
2009-04-01,2009-M04,AND,CON_OCI,128860.2,Mensual,SS_Conocimiento
2009-05-01,2009-M05,AND,CON_OCI,128984.6,Mensual,SS_Conocimiento
2009-06-01,2009-M06,AND,CON_OCI,129225.0,Mensual,SS_Conocimiento
2009-07-01,2009-M07,AND,CON_OCI,130113.0,Mensual,SS_Conocimiento
2009-08-01,2009-M08,AND,CON_OCI,129120.20000000001,Mensual,SS_Conocimiento
2009-09-01,2009-M09,AND,CON_OCI,129503.8,Mensual,SS_Conocimiento
2009-10-01,2009-M10,AND,CON_OCI,129503.70000000001,Mensual,SS_Conocimiento
2009-11-01,2009-M11,AND,CON_OCI,130164.5,Mensual,SS_Conocimiento
2009-12-01,2009-M12,AND,CON_OCI,130491.2,Mensual,SS_Conocimiento
2010-01-01,2010-M01,AND,CON_OCI,128437.3,Mensual,SS_Conocimiento
2010-02-01,2010-M02,AND,CON_OCI,129106.5,Mensual,SS_Conocimiento
2010-03-01,2010-M03,AND,CON_OCI,129995.1,Mensual,SS_Conocimiento
2010-04-01,2010-M04,AND,CON_OCI,130815.3,Mensual,SS_Conocimiento
2010-05-01,2010-M05,AND,CON_OCI,131648.4,Mensual,SS_Conocimiento
2010-06-01,2010-M06,AND,CON_OCI,131593.8,Mensual,SS_Conocimiento
2010-07-01,2010-M07,AND,CON_OCI,131532.9,Mensual,SS_Conocimiento
2010-08-01,2010-M08,AND,CON_OCI,130173.4,Mensual,SS_Conocimiento
2010-09-01,2010-M09,AND,CON_OCI,130308.0,Mensual,SS_Conocimiento
2010-10-01,2010-M10,AND,CON_OCI,130703.6,Mensual,SS_Conocimiento
2010-11-01,2010-M11,AND,CON_OCI,131340.0,Mensual,SS_Conocimiento
2010-12-01,2010-M12,AND,CON_OCI,131270.7,Mensual,SS_Conocimiento
2011-01-01,2011-M01,AND,CON_OCI,129452.6,Mensual,SS_Conocimiento
2011-02-01,2011-M02,AND,CON_OCI,129469.5,Mensual,SS_Conocimiento
2011-03-01,2011-M03,AND,CON_OCI,129903.5,Mensual,SS_Conocimiento
2011-04-01,2011-M04,AND,CON_OCI,130360.8,Mensual,SS_Conocimiento
2011-05-01,2011-M05,AND,CON_OCI,129456.0,Mensual,SS_Conocimiento
2011-06-01,2011-M06,AND,CON_OCI,129619.5,Mensual,SS_Conocimiento
2011-07-01,2011-M07,AND,CON_OCI,129470.5,Mensual,SS_Conocimiento
2011-08-01,2011-M08,AND,CON_OCI,128382.29999999999,Mensual,SS_Conocimiento
2011-09-01,2011-M09,AND,CON_OCI,128501.8,Mensual,SS_Conocimiento
2011-10-01,2011-M10,AND,CON_OCI,128475.7,Mensual,SS_Conocimiento
2011-11-01,2011-M11,AND,CON_OCI,128381.4,Mensual,SS_Conocimiento
2011-12-01,2011-M12,AND,CON_OCI,128852.6,Mensual,SS_Conocimiento
2012-01-01,2012-M01,AND,CON_OCI,126760.6,Mensual,SS_Conocimiento
2012-02-01,2012-M02,AND,CON_OCI,126434.3,Mensual,SS_Conocimiento
2012-03-01,2012-M03,AND,CON_OCI,126608.1,Mensual,SS_Conocimiento
2012-04-01,2012-M04,AND,CON_OCI,126315.0,Mensual,SS_Conocimiento
2012-05-01,2012-M05,AND,CON_OCI,126024.1,Mensual,SS_Conocimiento
2012-06-01,2012-M06,AND,CON_OCI,125734.40000000001,Mensual,SS_Conocimiento
2012-07-01,2012-M07,AND,CON_OCI,125310.4,Mensual,SS_Conocimiento
2012-08-01,2012-M08,AND,CON_OCI,123828.4,Mensual,SS_Conocimiento
2012-09-01,2012-M09,AND,CON_OCI,123701.6,Mensual,SS_Conocimiento
2012-10-01,2012-M10,AND,CON_OCI,123633.9,Mensual,SS_Conocimiento
2012-11-01,2012-M11,AND,CON_OCI,123483.7,Mensual,SS_Conocimiento
2012-12-01,2012-M12,AND,CON_OCI,123473.1,Mensual,SS_Conocimiento
2013-01-01,2013-M01,AND,CON_OCI,122219.20000000001,Mensual,SS_Conocimiento
2013-02-01,2013-M02,AND,CON_OCI,122173.79999999999,Mensual,SS_Conocimiento
2013-03-01,2013-M03,AND,CON_OCI,122611.0,Mensual,SS_Conocimiento
2013-04-01,2013-M04,AND,CON_OCI,122960.79999999999,Mensual,SS_Conocimiento
2013-05-01,2013-M05,AND,CON_OCI,123086.2,Mensual,SS_Conocimiento
2013-06-01,2013-M06,AND,CON_OCI,123271.7,Mensual,SS_Conocimiento
2013-07-01,2013-M07,AND,CON_OCI,123296.0,Mensual,SS_Conocimiento
2013-08-01,2013-M08,AND,CON_OCI,122524.9,Mensual,SS_Conocimiento
2013-09-01,2013-M09,AND,CON_OCI,123364.5,Mensual,SS_Conocimiento
2013-10-01,2013-M10,AND,CON_OCI,123776.2,Mensual,SS_Conocimiento
2013-11-01,2013-M11,AND,CON_OCI,124217.8,Mensual,SS_Conocimiento
2013-12-01,2013-M12,AND,CON_OCI,124771.3,Mensual,SS_Conocimiento
2014-01-01,2014-M01,AND,CON_OCI,123929.29999999999,Mensual,SS_Conocimiento
2014-02-01,2014-M02,AND,CON_OCI,124347.0,Mensual,SS_Conocimiento
2014-03-01,2014-M03,AND,CON_OCI,124860.40000000001,Mensual,SS_Conocimiento
2014-04-01,2014-M04,AND,CON_OCI,125727.9,Mensual,SS_Conocimiento
2014-05-01,2014-M05,AND,CON_OCI,126680.29999999999,Mensual,SS_Conocimiento
2014-06-01,2014-M06,AND,CON_OCI,127336.79999999999,Mensual,SS_Conocimiento
2014-07-01,2014-M07,AND,CON_OCI,127712.2,Mensual,SS_Conocimiento
2014-08-01,2014-M08,AND,CON_OCI,126816.90000000001,Mensual,SS_Conocimiento
2014-09-01,2014-M09,AND,CON_OCI,127762.6,Mensual,SS_Conocimiento
2014-10-01,2014-M10,AND,CON_OCI,128909.5,Mensual,SS_Conocimiento
2014-11-01,2014-M11,AND,CON_OCI,129744.5,Mensual,SS_Conocimiento
2014-12-01,2014-M12,AND,CON_OCI,129891.5,Mensual,SS_Conocimiento
2015-01-01,2015-M01,AND,CON_OCI,129231.5,Mensual,SS_Conocimiento
2015-02-01,2015-M02,AND,CON_OCI,130381.59999999999,Mensual,SS_Conocimiento
2015-03-01,2015-M03,AND,CON_OCI,131338.6,Mensual,SS_Conocimiento
2015-04-01,2015-M04,AND,CON_OCI,133055.0,Mensual,SS_Conocimiento
2015-05-01,2015-M05,AND,CON_OCI,134006.4,Mensual,SS_Conocimiento
2015-06-01,2015-M06,AND,CON_OCI,134738.8,Mensual,SS_Conocimiento
2015-07-01,2015-M07,AND,CON_OCI,135323.7,Mensual,SS_Conocimiento
2015-08-01,2015-M08,AND,CON_OCI,134218.6,Mensual,SS_Conocimiento
2015-09-01,2015-M09,AND,CON_OCI,135082.7,Mensual,SS_Conocimiento
2015-10-01,2015-M10,AND,CON_OCI,135687.6,Mensual,SS_Conocimiento
2015-11-01,2015-M11,AND,CON_OCI,136432.5,Mensual,SS_Conocimiento
2015-12-01,2015-M12,AND,CON_OCI,137077.0,Mensual,SS_Conocimiento
2016-01-01,2016-M01,AND,CON_OCI,135823.3,Mensual,SS_Conocimiento
2016-02-01,2016-M02,AND,CON_OCI,136150.6,Mensual,SS_Conocimiento
2016-03-01,2016-M03,AND,CON_OCI,136474.1,Mensual,SS_Conocimiento
2016-04-01,2016-M04,AND,CON_OCI,137407.09999999998,Mensual,SS_Conocimiento
2016-05-01,2016-M05,AND,CON_OCI,138288.3,Mensual,SS_Conocimiento
2016-06-01,2016-M06,AND,CON_OCI,139581.3,Mensual,SS_Conocimiento
2016-07-01,2016-M07,AND,CON_OCI,140132.2,Mensual,SS_Conocimiento
2016-08-01,2016-M08,AND,CON_OCI,139120.3,Mensual,SS_Conocimiento
