Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-Q1,AND,ECO_PIBpc,100.20852907903124,Trimestral,Derivado_ECO_PIT_AUX_POB
2010-07-01,2010-Q3,AND,ECO_PIBpc,99.38872953156316,Trimestral,Derivado_ECO_PIT_AUX_POB
2011-01-01,2011-Q1,AND,ECO_PIBpc,98.80266795911028,Trimestral,Derivado_ECO_PIT_AUX_POB
2011-07-01,2011-Q3,AND,ECO_PIBpc,97.60106015743162,Trimestral,Derivado_ECO_PIT_AUX_POB
2012-01-01,2012-Q1,AND,ECO_PIBpc,95.49546915062422,Trimestral,Derivado_ECO_PIT_AUX_POB
2012-07-01,2012-Q3,AND,ECO_PIBpc,93.86812834257734,Trimestral,Derivado_ECO_PIT_AUX_POB
2013-01-01,2013-Q1,AND,ECO_PIBpc,92.80573493935714,Trimestral,Derivado_ECO_PIT_AUX_POB
2013-07-01,2013-Q3,AND,ECO_PIBpc,92.698568702201,Trimestral,Derivado_ECO_PIT_AUX_POB
2014-01-01,2014-Q1,AND,ECO_PIBpc,94.72883335640114,Trimestral,Derivado_ECO_PIT_AUX_POB
2014-07-01,2014-Q3,AND,ECO_PIBpc,94.42829605092652,Trimestral,Derivado_ECO_PIT_AUX_POB
2015-01-01,2015-Q1,AND,ECO_PIBpc,96.06886716679217,Trimestral,Derivado_ECO_PIT_AUX_POB
2015-07-01,2015-Q3,AND,ECO_PIBpc,97.85682226025068,Trimestral,Derivado_ECO_PIT_AUX_POB
2016-01-01,2016-Q1,AND,ECO_PIBpc,99.14938358758735,Trimestral,Derivado_ECO_PIT_AUX_POB
2016-07-01,2016-Q3,AND,ECO_PIBpc,100.2888231229103,Trimestral,Derivado_ECO_PIT_AUX_POB
2017-01-01,2017-Q1,AND,ECO_PIBpc,101.66303048939767,Trimestral,Derivado_ECO_PIT_AUX_POB
2017-07-01,2017-Q3,AND,ECO_PIBpc,103.27944236242995,Trimestral,Derivado_ECO_PIT_AUX_POB
2018-01-01,2018-Q1,AND,ECO_PIBpc,103.98983181533394,Trimestral,Derivado_ECO_PIT_AUX_POB
2018-07-01,2018-Q3,AND,ECO_PIBpc,105.22908924113202,Trimestral,Derivado_ECO_PIT_AUX_POB
2019-01-01,2019-Q1,AND,ECO_PIBpc,107.31525968817503,Trimestral,Derivado_ECO_PIT_AUX_POB
2019-07-01,2019-Q3,AND,ECO_PIBpc,107.12424957088156,Trimestral,Derivado_ECO_PIT_AUX_POB
2020-01-01,2020-Q1,AND,ECO_PIBpc,100.48921902901185,Trimestral,Derivado_ECO_PIT_AUX_POB
2020-07-01,2020-Q3,AND,ECO_PIBpc,97.15725075342743,Trimestral,Derivado_ECO_PIT_AUX_POB
