Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
1995-01-01,1995-Q1,AND,ECO_PIT,65.210307676,Trimestral,IECA_PIB_IV
1995-04-01,1995-Q2,AND,ECO_PIT,64.82328226,Trimestral,IECA_PIB_IV
1995-07-01,1995-Q3,AND,ECO_PIT,64.744805392,Trimestral,IECA_PIB_IV
1995-10-01,1995-Q4,AND,ECO_PIT,65.208206438,Trimestral,IECA_PIB_IV
1996-01-01,1996-Q1,AND,ECO_PIT,65.721500168,Trimestral,IECA_PIB_IV
1996-04-01,1996-Q2,AND,ECO_PIT,66.710536575,Trimestral,IECA_PIB_IV
1996-07-01,1996-Q3,AND,ECO_PIT,67.785169183,Trimestral,IECA_PIB_IV
1996-10-01,1996-Q4,AND,ECO_PIT,68.493696928,Trimestral,IECA_PIB_IV
1997-01-01,1997-Q1,AND,ECO_PIT,69.531038635,Trimestral,IECA_PIB_IV
1997-04-01,1997-Q2,AND,ECO_PIT,70.701473773,Trimestral,IECA_PIB_IV
1997-07-01,1997-Q3,AND,ECO_PIT,71.630652172,Trimestral,IECA_PIB_IV
1997-10-01,1997-Q4,AND,ECO_PIT,72.673944195,Trimestral,IECA_PIB_IV
1998-01-01,1998-Q1,AND,ECO_PIT,73.736842744,Trimestral,IECA_PIB_IV
1998-04-01,1998-Q2,AND,ECO_PIT,74.312661964,Trimestral,IECA_PIB_IV
1998-07-01,1998-Q3,AND,ECO_PIT,75.417292235,Trimestral,IECA_PIB_IV
1998-10-01,1998-Q4,AND,ECO_PIT,76.423408749,Trimestral,IECA_PIB_IV
1999-01-01,1999-Q1,AND,ECO_PIT,76.915176553,Trimestral,IECA_PIB_IV
1999-04-01,1999-Q2,AND,ECO_PIT,78.22901651,Trimestral,IECA_PIB_IV
1999-07-01,1999-Q3,AND,ECO_PIT,78.968977445,Trimestral,IECA_PIB_IV
1999-10-01,1999-Q4,AND,ECO_PIT,79.870128612,Trimestral,IECA_PIB_IV
2000-01-01,2000-Q1,AND,ECO_PIT,81.541849773,Trimestral,IECA_PIB_IV
2000-04-01,2000-Q2,AND,ECO_PIT,82.158503735,Trimestral,IECA_PIB_IV
2000-07-01,2000-Q3,AND,ECO_PIT,83.298679449,Trimestral,IECA_PIB_IV
2000-10-01,2000-Q4,AND,ECO_PIT,84.240466647,Trimestral,IECA_PIB_IV
2001-01-01,2001-Q1,AND,ECO_PIT,84.85305267,Trimestral,IECA_PIB_IV
2001-04-01,2001-Q2,AND,ECO_PIT,85.978554237,Trimestral,IECA_PIB_IV
2001-07-01,2001-Q3,AND,ECO_PIT,86.517248483,Trimestral,IECA_PIB_IV
2001-10-01,2001-Q4,AND,ECO_PIT,87.437712555,Trimestral,IECA_PIB_IV
2002-01-01,2002-Q1,AND,ECO_PIT,87.762480271,Trimestral,IECA_PIB_IV
2002-04-01,2002-Q2,AND,ECO_PIT,88.44966242,Trimestral,IECA_PIB_IV
2002-07-01,2002-Q3,AND,ECO_PIT,89.499737558,Trimestral,IECA_PIB_IV
2002-10-01,2002-Q4,AND,ECO_PIT,89.958654666,Trimestral,IECA_PIB_IV
2003-01-01,2003-Q1,AND,ECO_PIT,91.140615639,Trimestral,IECA_PIB_IV
2003-04-01,2003-Q2,AND,ECO_PIT,92.213925805,Trimestral,IECA_PIB_IV
2003-07-01,2003-Q3,AND,ECO_PIT,92.882585179,Trimestral,IECA_PIB_IV
2003-10-01,2003-Q4,AND,ECO_PIT,94.069622388,Trimestral,IECA_PIB_IV
2004-01-01,2004-Q1,AND,ECO_PIT,95.066817921,Trimestral,IECA_PIB_IV
2004-04-01,2004-Q2,AND,ECO_PIT,95.14248418,Trimestral,IECA_PIB_IV
2004-07-01,2004-Q3,AND,ECO_PIT,96.203624621,Trimestral,IECA_PIB_IV
2004-10-01,2004-Q4,AND,ECO_PIT,97.062424672,Trimestral,IECA_PIB_IV
2005-01-01,2005-Q1,AND,ECO_PIT,97.551213308,Trimestral,IECA_PIB_IV
2005-04-01,2005-Q2,AND,ECO_PIT,99.152450711,Trimestral,IECA_PIB_IV
2005-07-01,2005-Q3,AND,ECO_PIT,100.125004257,Trimestral,IECA_PIB_IV
2005-10-01,2005-Q4,AND,ECO_PIT,100.712703419,Trimestral,IECA_PIB_IV
2006-01-01,2006-Q1,AND,ECO_PIT,101.911851612,Trimestral,IECA_PIB_IV
2006-04-01,2006-Q2,AND,ECO_PIT,103.00535813,Trimestral,IECA_PIB_IV
2006-07-01,2006-Q3,AND,ECO_PIT,103.943732375,Trimestral,IECA_PIB_IV
2006-10-01,2006-Q4,AND,ECO_PIT,105.175070754,Trimestral,IECA_PIB_IV
2007-01-01,2007-Q1,AND,ECO_PIT,106.339995669,Trimestral,IECA_PIB_IV
2007-04-01,2007-Q2,AND,ECO_PIT,106.659749498,Trimestral,IECA_PIB_IV
2007-07-01,2007-Q3,AND,ECO_PIT,107.600047195,Trimestral,IECA_PIB_IV
2007-10-01,2007-Q4,AND,ECO_PIT,108.379006793,Trimestral,IECA_PIB_IV
2008-01-01,2008-Q1,AND,ECO_PIT,108.779520502,Trimestral,IECA_PIB_IV
2008-04-01,2008-Q2,AND,ECO_PIT,108.526475082,Trimestral,IECA_PIB_IV
2008-07-01,2008-Q3,AND,ECO_PIT,107.570549338,Trimestral,IECA_PIB_IV
2008-10-01,2008-Q4,AND,ECO_PIT,106.259444748,Trimestral,IECA_PIB_IV
2009-01-01,2009-Q1,AND,ECO_PIT,104.635495438,Trimestral,IECA_PIB_IV
2009-04-01,2009-Q2,AND,ECO_PIT,103.895664313,Trimestral,IECA_PIB_IV
2009-07-01,2009-Q3,AND,ECO_PIT,103.447185785,Trimestral,IECA_PIB_IV
2009-10-01,2009-Q4,AND,ECO_PIT,103.250607474,Trimestral,IECA_PIB_IV
2010-01-01,2010-Q1,AND,ECO_PIT,102.889694565,Trimestral,IECA_PIB_IV
2010-04-01,2010-Q2,AND,ECO_PIT,102.908915326,Trimestral,IECA_PIB_IV
2010-07-01,2010-Q3,AND,ECO_PIT,102.379652757,Trimestral,IECA_PIB_IV
2010-10-01,2010-Q4,AND,ECO_PIT,102.041555008,Trimestral,IECA_PIB_IV
