Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2000-01-01,2000-ANUAL,AND,ECO_RBH,59806130.0,Anual,INE_RentaHogares_AND
2001-01-01,2001-ANUAL,AND,ECO_RBH,64429605.0,Anual,INE_RentaHogares_AND
2002-01-01,2002-ANUAL,AND,ECO_RBH,68159299.0,Anual,INE_RentaHogares_AND
2003-01-01,2003-ANUAL,AND,ECO_RBH,73669820.0,Anual,INE_RentaHogares_AND
2004-01-01,2004-ANUAL,AND,ECO_RBH,77992512.0,Anual,INE_RentaHogares_AND
2005-01-01,2005-ANUAL,AND,ECO_RBH,83405499.0,Anual,INE_RentaHogares_AND
2006-01-01,2006-ANUAL,AND,ECO_RBH,88537085.0,Anual,INE_RentaHogares_AND
2007-01-01,2007-ANUAL,AND,ECO_RBH,92673762.0,Anual,INE_RentaHogares_AND
2008-01-01,2008-ANUAL,AND,ECO_RBH,97626130.0,Anual,INE_RentaHogares_AND
2009-01-01,2009-ANUAL,AND,ECO_RBH,97855675.0,Anual,INE_RentaHogares_AND
2010-01-01,2010-ANUAL,AND,ECO_RBH,97750393.0,Anual,INE_RentaHogares_AND
2011-01-01,2011-ANUAL,AND,ECO_RBH,98534821.0,Anual,INE_RentaHogares_AND
2012-01-01,2012-ANUAL,AND,ECO_RBH,93455540.0,Anual,INE_RentaHogares_AND
2013-01-01,2013-ANUAL,AND,ECO_RBH,93029099.0,Anual,INE_RentaHogares_AND
2014-01-01,2014-ANUAL,AND,ECO_RBH,93341377.0,Anual,INE_RentaHogares_AND
2015-01-01,2015-ANUAL,AND,ECO_RBH,98012694.0,Anual,INE_RentaHogares_AND
2016-01-01,2016-ANUAL,AND,ECO_RBH,99266479.0,Anual,INE_RentaHogares_AND
2017-01-01,2017-ANUAL,AND,ECO_RBH,102144613.0,Anual,INE_RentaHogares_AND
2018-01-01,2018-ANUAL,AND,ECO_RBH,106854890.0,Anual,INE_RentaHogares_AND
2019-01-01,2019-ANUAL,AND,ECO_RBH,111295697.0,Anual,INE_RentaHogares_AND
2020-01-01,2020-ANUAL,AND,ECO_RBH,110935923.0,Anual,INE_RentaHogares_AND
2021-01-01,2021-ANUAL,AND,ECO_RBH,117147643.0,Anual,INE_RentaHogares_AND
2022-01-01,2022-ANUAL,AND,ECO_RBH,122241958.0,Anual,INE_RentaHogares_AND
2023-01-01,2023-ANUAL,AND,ECO_RBH,132279635.0,Anual,INE_RentaHogares_AND
2000-01-01,2000-ANUAL,ARA,ECO_RBH,13325862.0,Anual,INE_RentaHogares_ARA
2001-01-01,2001-ANUAL,ARA,ECO_RBH,14280934.0,Anual,INE_RentaHogares_ARA
2002-01-01,2002-ANUAL,ARA,ECO_RBH,15277120.0,Anual,INE_RentaHogares_ARA
2003-01-01,2003-ANUAL,ARA,ECO_RBH,16283072.0,Anual,INE_RentaHogares_ARA
2004-01-01,2004-ANUAL,ARA,ECO_RBH,16969354.0,Anual,INE_RentaHogares_ARA
2005-01-01,2005-ANUAL,ARA,ECO_RBH,18064164.0,Anual,INE_RentaHogares_ARA
2006-01-01,2006-ANUAL,ARA,ECO_RBH,19299409.0,Anual,INE_RentaHogares_ARA
2007-01-01,2007-ANUAL,ARA,ECO_RBH,20357173.0,Anual,INE_RentaHogares_ARA
2008-01-01,2008-ANUAL,ARA,ECO_RBH,21465067.0,Anual,INE_RentaHogares_ARA
2009-01-01,2009-ANUAL,ARA,ECO_RBH,21287826.0,Anual,INE_RentaHogares_ARA
2010-01-01,2010-ANUAL,ARA,ECO_RBH,21103130.0,Anual,INE_RentaHogares_ARA
2011-01-01,2011-ANUAL,ARA,ECO_RBH,21422611.0,Anual,INE_RentaHogares_ARA
2012-01-01,2012-ANUAL,ARA,ECO_RBH,20248688.0,Anual,INE_RentaHogares_ARA
2013-01-01,2013-ANUAL,ARA,ECO_RBH,20179315.0,Anual,INE_RentaHogares_ARA
2014-01-01,2014-ANUAL,ARA,ECO_RBH,19957115.0,Anual,INE_RentaHogares_ARA
2015-01-01,2015-ANUAL,ARA,ECO_RBH,20488518.0,Anual,INE_RentaHogares_ARA
2016-01-01,2016-ANUAL,ARA,ECO_RBH,21056855.0,Anual,INE_RentaHogares_ARA
2017-01-01,2017-ANUAL,ARA,ECO_RBH,21692356.0,Anual,INE_RentaHogares_ARA
2018-01-01,2018-ANUAL,ARA,ECO_RBH,22232592.0,Anual,INE_RentaHogares_ARA
2019-01-01,2019-ANUAL,ARA,ECO_RBH,23289189.0,Anual,INE_RentaHogares_ARA
2020-01-01,2020-ANUAL,ARA,ECO_RBH,23141876.0,Anual,INE_RentaHogares_ARA
2021-01-01,2021-ANUAL,ARA,ECO_RBH,23853362.0,Anual,INE_RentaHogares_ARA
2022-01-01,2022-ANUAL,ARA,ECO_RBH,25449274.0,Anual,INE_RentaHogares_ARA
2023-01-01,2023-ANUAL,ARA,ECO_RBH,27899287.0,Anual,INE_RentaHogares_ARA
2000-01-01,2000-ANUAL,AST,ECO_RBH,10282039.0,Anual,INE_RentaHogares_AST
2001-01-01,2001-ANUAL,AST,ECO_RBH,11072665.0,Anual,INE_RentaHogares_AST
2002-01-01,2002-ANUAL,AST,ECO_RBH,11726043.0,Anual,INE_RentaHogares_AST
2003-01-01,2003-ANUAL,AST,ECO_RBH,12445828.0,Anual,INE_RentaHogares_AST
2004-01-01,2004-ANUAL,AST,ECO_RBH,13098898.0,Anual,INE_RentaHogares_AST
2005-01-01,2005-ANUAL,AST,ECO_RBH,14090710.0,Anual,INE_RentaHogares_AST
2006-01-01,2006-ANUAL,AST,ECO_RBH,15149638.0,Anual,INE_RentaHogares_AST
2007-01-01,2007-ANUAL,AST,ECO_RBH,16107777.0,Anual,INE_RentaHogares_AST
2008-01-01,2008-ANUAL,AST,ECO_RBH,16626002.0,Anual,INE_RentaHogares_AST
2009-01-01,2009-ANUAL,AST,ECO_RBH,15989583.0,Anual,INE_RentaHogares_AST
2010-01-01,2010-ANUAL,AST,ECO_RBH,15938625.0,Anual,INE_RentaHogares_AST
2011-01-01,2011-ANUAL,AST,ECO_RBH,16174555.0,Anual,INE_RentaHogares_AST
2012-01-01,2012-ANUAL,AST,ECO_RBH,15325851.0,Anual,INE_RentaHogares_AST
2013-01-01,2013-ANUAL,AST,ECO_RBH,15212573.0,Anual,INE_RentaHogares_AST
