Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-ANUAL,AND,EMP_NAT,62770.0,Anual,EMP_NAT
2017-01-01,2017-ANUAL,AND,EMP_NAT,57312.0,Anual,EMP_NAT
2018-01-01,2018-ANUAL,AND,EMP_NAT,68472.0,Anual,EMP_NAT
2019-01-01,2019-ANUAL,AND,EMP_NAT,64794.0,Anual,EMP_NAT
2020-01-01,2020-ANUAL,AND,EMP_NAT,51269.0,Anual,EMP_NAT
2021-01-01,2021-ANUAL,AND,EMP_NAT,55881.0,Anual,EMP_NAT
2022-01-01,2022-ANUAL,AND,EMP_NAT,54025.0,Anual,EMP_NAT
2023-01-01,2023-ANUAL,AND,EMP_NAT,56776.0,Anual,EMP_NAT
2016-01-01,2016-ANUAL,ARA,EMP_NAT,9097.0,Anual,EMP_NAT
2017-01-01,2017-ANUAL,ARA,EMP_NAT,7202.0,Anual,EMP_NAT
2018-01-01,2018-ANUAL,ARA,EMP_NAT,7871.0,Anual,EMP_NAT
2019-01-01,2019-ANUAL,ARA,EMP_NAT,7843.0,Anual,EMP_NAT
2020-01-01,2020-ANUAL,ARA,EMP_NAT,5733.0,Anual,EMP_NAT
2021-01-01,2021-ANUAL,ARA,EMP_NAT,6600.0,Anual,EMP_NAT
2022-01-01,2022-ANUAL,ARA,EMP_NAT,6110.0,Anual,EMP_NAT
2023-01-01,2023-ANUAL,ARA,EMP_NAT,6630.0,Anual,EMP_NAT
2016-01-01,2016-ANUAL,AST,EMP_NAT,6810.0,Anual,EMP_NAT
2017-01-01,2017-ANUAL,AST,EMP_NAT,6231.0,Anual,EMP_NAT
2018-01-01,2018-ANUAL,AST,EMP_NAT,6639.0,Anual,EMP_NAT
2019-01-01,2019-ANUAL,AST,EMP_NAT,6118.0,Anual,EMP_NAT
2020-01-01,2020-ANUAL,AST,EMP_NAT,4674.0,Anual,EMP_NAT
2021-01-01,2021-ANUAL,AST,EMP_NAT,5182.0,Anual,EMP_NAT
2022-01-01,2022-ANUAL,AST,EMP_NAT,4772.0,Anual,EMP_NAT
2023-01-01,2023-ANUAL,AST,EMP_NAT,5127.0,Anual,EMP_NAT
2016-01-01,2016-ANUAL,BAL,EMP_NAT,12099.0,Anual,EMP_NAT
2017-01-01,2017-ANUAL,BAL,EMP_NAT,11585.0,Anual,EMP_NAT
2018-01-01,2018-ANUAL,BAL,EMP_NAT,12602.0,Anual,EMP_NAT
