Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-M01,AND,EMP_SOC,988.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-02-01,2010-M02,AND,EMP_SOC,1206.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-03-01,2010-M03,AND,EMP_SOC,1362.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-04-01,2010-M04,AND,EMP_SOC,1242.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-05-01,2010-M05,AND,EMP_SOC,1154.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-06-01,2010-M06,AND,EMP_SOC,1216.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-07-01,2010-M07,AND,EMP_SOC,1006.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-08-01,2010-M08,AND,EMP_SOC,677.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-09-01,2010-M09,AND,EMP_SOC,828.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-10-01,2010-M10,AND,EMP_SOC,826.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-11-01,2010-M11,AND,EMP_SOC,966.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2010-12-01,2010-M12,AND,EMP_SOC,1011.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-01-01,2011-M01,AND,EMP_SOC,1166.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-02-01,2011-M02,AND,EMP_SOC,1228.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-03-01,2011-M03,AND,EMP_SOC,1597.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-04-01,2011-M04,AND,EMP_SOC,1117.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-05-01,2011-M05,AND,EMP_SOC,1174.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-06-01,2011-M06,AND,EMP_SOC,1326.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-07-01,2011-M07,AND,EMP_SOC,1200.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-08-01,2011-M08,AND,EMP_SOC,906.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-09-01,2011-M09,AND,EMP_SOC,875.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-10-01,2011-M10,AND,EMP_SOC,1080.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-11-01,2011-M11,AND,EMP_SOC,1194.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2011-12-01,2011-M12,AND,EMP_SOC,1079.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-01-01,2012-M01,AND,EMP_SOC,1339.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-02-01,2012-M02,AND,EMP_SOC,1331.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-03-01,2012-M03,AND,EMP_SOC,1511.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-04-01,2012-M04,AND,EMP_SOC,1119.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-05-01,2012-M05,AND,EMP_SOC,1250.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-06-01,2012-M06,AND,EMP_SOC,1226.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-07-01,2012-M07,AND,EMP_SOC,1136.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-08-01,2012-M08,AND,EMP_SOC,887.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-09-01,2012-M09,AND,EMP_SOC,1033.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-10-01,2012-M10,AND,EMP_SOC,1234.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-11-01,2012-M11,AND,EMP_SOC,1273.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2012-12-01,2012-M12,AND,EMP_SOC,1060.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-01-01,2013-M01,AND,EMP_SOC,1499.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-02-01,2013-M02,AND,EMP_SOC,1303.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-03-01,2013-M03,AND,EMP_SOC,1395.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-04-01,2013-M04,AND,EMP_SOC,1579.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-05-01,2013-M05,AND,EMP_SOC,1464.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-06-01,2013-M06,AND,EMP_SOC,1234.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-07-01,2013-M07,AND,EMP_SOC,1370.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-08-01,2013-M08,AND,EMP_SOC,887.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-09-01,2013-M09,AND,EMP_SOC,1103.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
2013-10-01,2013-M10,AND,EMP_SOC,1281.0,Mensual,Andalucía. Sociedades Constituídas. Mercantiles. Dato base. 
