Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-01,AND,ENE_REN,34.23,Mensual,REE_generacion_renovable
2016-02-01,2016-02,AND,ENE_REN,46.6,Mensual,REE_generacion_renovable
2016-03-01,2016-03,AND,ENE_REN,41.25,Mensual,REE_generacion_renovable
2016-04-01,2016-04,AND,ENE_REN,44.27,Mensual,REE_generacion_renovable
2016-05-01,2016-05,AND,ENE_REN,48.21,Mensual,REE_generacion_renovable
2016-06-01,2016-06,AND,ENE_REN,43.21,Mensual,REE_generacion_renovable
2016-07-01,2016-07,AND,ENE_REN,40.37,Mensual,REE_generacion_renovable
2016-08-01,2016-08,AND,ENE_REN,44.64,Mensual,REE_generacion_renovable
2016-09-01,2016-09,AND,ENE_REN,37.2,Mensual,REE_generacion_renovable
2016-10-01,2016-10,AND,ENE_REN,33.44,Mensual,REE_generacion_renovable
2016-11-01,2016-11,AND,ENE_REN,29.14,Mensual,REE_generacion_renovable
2016-12-01,2016-12,AND,ENE_REN,31.81,Mensual,REE_generacion_renovable
2017-01-01,2017-01,AND,ENE_REN,30.88,Mensual,REE_generacion_renovable
2017-02-01,2017-02,AND,ENE_REN,40.73,Mensual,REE_generacion_renovable
2017-03-01,2017-03,AND,ENE_REN,46.5,Mensual,REE_generacion_renovable
2017-04-01,2017-04,AND,ENE_REN,47.15,Mensual,REE_generacion_renovable
2017-05-01,2017-05,AND,ENE_REN,41.98,Mensual,REE_generacion_renovable
2017-06-01,2017-06,AND,ENE_REN,39.21,Mensual,REE_generacion_renovable
2017-07-01,2017-07,AND,ENE_REN,33.49,Mensual,REE_generacion_renovable
2017-08-01,2017-08,AND,ENE_REN,32.91,Mensual,REE_generacion_renovable
2017-09-01,2017-09,AND,ENE_REN,30.6,Mensual,REE_generacion_renovable
2017-10-01,2017-10,AND,ENE_REN,34.86,Mensual,REE_generacion_renovable
2017-11-01,2017-11,AND,ENE_REN,22.53,Mensual,REE_generacion_renovable
2017-12-01,2017-12,AND,ENE_REN,30.32,Mensual,REE_generacion_renovable
2018-01-01,2018-01,AND,ENE_REN,30.55,Mensual,REE_generacion_renovable
2018-02-01,2018-02,AND,ENE_REN,28.38,Mensual,REE_generacion_renovable
2018-03-01,2018-03,AND,ENE_REN,50.98,Mensual,REE_generacion_renovable
2018-04-01,2018-04,AND,ENE_REN,47.56,Mensual,REE_generacion_renovable
2018-05-01,2018-05,AND,ENE_REN,36.47,Mensual,REE_generacion_renovable
2018-06-01,2018-06,AND,ENE_REN,37.19,Mensual,REE_generacion_renovable
2018-07-01,2018-07,AND,ENE_REN,32.95,Mensual,REE_generacion_renovable
2018-08-01,2018-08,AND,ENE_REN,35.67,Mensual,REE_generacion_renovable
2018-09-01,2018-09,AND,ENE_REN,34.24,Mensual,REE_generacion_renovable
2018-10-01,2018-10,AND,ENE_REN,29.96,Mensual,REE_generacion_renovable
2018-11-01,2018-11,AND,ENE_REN,25.01,Mensual,REE_generacion_renovable
2018-12-01,2018-12,AND,ENE_REN,26.13,Mensual,REE_generacion_renovable
2019-01-01,2019-01,AND,ENE_REN,30.29,Mensual,REE_generacion_renovable
2019-02-01,2019-02,AND,ENE_REN,35.56,Mensual,REE_generacion_renovable
2019-03-01,2019-03,AND,ENE_REN,47.96,Mensual,REE_generacion_renovable
2019-04-01,2019-04,AND,ENE_REN,41.11,Mensual,REE_generacion_renovable
2019-05-01,2019-05,AND,ENE_REN,45.01,Mensual,REE_generacion_renovable
2019-06-01,2019-06,AND,ENE_REN,37.72,Mensual,REE_generacion_renovable
2019-07-01,2019-07,AND,ENE_REN,32.84,Mensual,REE_generacion_renovable
2019-08-01,2019-08,AND,ENE_REN,35.03,Mensual,REE_generacion_renovable
2019-09-01,2019-09,AND,ENE_REN,32.1,Mensual,REE_generacion_renovable
2019-10-01,2019-10,AND,ENE_REN,29.51,Mensual,REE_generacion_renovable
2019-11-01,2019-11,AND,ENE_REN,46.18,Mensual,REE_generacion_renovable
2019-12-01,2019-12,AND,ENE_REN,53.52,Mensual,REE_generacion_renovable
2020-01-01,2020-01,AND,ENE_REN,39.1,Mensual,REE_generacion_renovable
2020-02-01,2020-02,AND,ENE_REN,47.13,Mensual,REE_generacion_renovable
2020-03-01,2020-03,AND,ENE_REN,59.35,Mensual,REE_generacion_renovable
2020-04-01,2020-04,AND,ENE_REN,62.93,Mensual,REE_generacion_renovable
2020-05-01,2020-05,AND,ENE_REN,66.35,Mensual,REE_generacion_renovable
2020-06-01,2020-06,AND,ENE_REN,56.65,Mensual,REE_generacion_renovable
2020-07-01,2020-07,AND,ENE_REN,44.23,Mensual,REE_generacion_renovable
2020-08-01,2020-08,AND,ENE_REN,46.23,Mensual,REE_generacion_renovable
2020-09-01,2020-09,AND,ENE_REN,51.46,Mensual,REE_generacion_renovable
2020-10-01,2020-10,AND,ENE_REN,55.26,Mensual,REE_generacion_renovable
2020-11-01,2020-11,AND,ENE_REN,50.32,Mensual,REE_generacion_renovable
2020-12-01,2020-12,AND,ENE_REN,50.1,Mensual,REE_generacion_renovable
2021-01-01,2021-01,AND,ENE_REN,51.58,Mensual,REE_generacion_renovable
2021-02-01,2021-02,AND,ENE_REN,67.5,Mensual,REE_generacion_renovable
2021-03-01,2021-03,AND,ENE_REN,62.68,Mensual,REE_generacion_renovable
2021-04-01,2021-04,AND,ENE_REN,54.92,Mensual,REE_generacion_renovable
2021-05-01,2021-05,AND,ENE_REN,65.34,Mensual,REE_generacion_renovable
2021-06-01,2021-06,AND,ENE_REN,55.35,Mensual,REE_generacion_renovable
2021-07-01,2021-07,AND,ENE_REN,62.24,Mensual,REE_generacion_renovable
2021-08-01,2021-08,AND,ENE_REN,55.41,Mensual,REE_generacion_renovable
2021-09-01,2021-09,AND,ENE_REN,47.69,Mensual,REE_generacion_renovable
2021-10-01,2021-10,AND,ENE_REN,50.27,Mensual,REE_generacion_renovable
2021-11-01,2021-11,AND,ENE_REN,40.23,Mensual,REE_generacion_renovable
2021-12-01,2021-12,AND,ENE_REN,51.88,Mensual,REE_generacion_renovable
2022-01-01,2022-01,AND,ENE_REN,48.84,Mensual,REE_generacion_renovable
2022-02-01,2022-02,AND,ENE_REN,50.01,Mensual,REE_generacion_renovable
2022-03-01,2022-03,AND,ENE_REN,55.44,Mensual,REE_generacion_renovable
2022-04-01,2022-04,AND,ENE_REN,61.95,Mensual,REE_generacion_renovable
2022-05-01,2022-05,AND,ENE_REN,66.14,Mensual,REE_generacion_renovable
2022-06-01,2022-06,AND,ENE_REN,45.4,Mensual,REE_generacion_renovable
2022-07-01,2022-07,AND,ENE_REN,43.39,Mensual,REE_generacion_renovable
2022-08-01,2022-08,AND,ENE_REN,37.21,Mensual,REE_generacion_renovable
2022-09-01,2022-09,AND,ENE_REN,34.68,Mensual,REE_generacion_renovable
2022-10-01,2022-10,AND,ENE_REN,37.8,Mensual,REE_generacion_renovable
2022-11-01,2022-11,AND,ENE_REN,46.74,Mensual,REE_generacion_renovable
2022-12-01,2022-12,AND,ENE_REN,44.44,Mensual,REE_generacion_renovable
2023-01-01,2023-01,AND,ENE_REN,60.47,Mensual,REE_generacion_renovable
2023-02-01,2023-02,AND,ENE_REN,53.07,Mensual,REE_generacion_renovable
2023-03-01,2023-03,AND,ENE_REN,60.08,Mensual,REE_generacion_renovable
2023-04-01,2023-04,AND,ENE_REN,68.6,Mensual,REE_generacion_renovable
2023-05-01,2023-05,AND,ENE_REN,63.96,Mensual,REE_generacion_renovable
2023-06-01,2023-06,AND,ENE_REN,58.04,Mensual,REE_generacion_renovable
2023-07-01,2023-07,AND,ENE_REN,55.21,Mensual,REE_generacion_renovable
2023-08-01,2023-08,AND,ENE_REN,54.63,Mensual,REE_generacion_renovable
2023-09-01,2023-09,AND,ENE_REN,52.01,Mensual,REE_generacion_renovable
2023-10-01,2023-10,AND,ENE_REN,56.07,Mensual,REE_generacion_renovable
2023-11-01,2023-11,AND,ENE_REN,62.31,Mensual,REE_generacion_renovable
2023-12-01,2023-12,AND,ENE_REN,52.71,Mensual,REE_generacion_renovable
2024-01-01,2024-01,AND,ENE_REN,56.74,Mensual,REE_generacion_renovable
2024-02-01,2024-02,AND,ENE_REN,71.32,Mensual,REE_generacion_renovable
2024-03-01,2024-03,AND,ENE_REN,71.97,Mensual,REE_generacion_renovable
2024-04-01,2024-04,AND,ENE_REN,75.7,Mensual,REE_generacion_renovable
2024-05-01,2024-05,AND,ENE_REN,80.26,Mensual,REE_generacion_renovable
2024-06-01,2024-06,AND,ENE_REN,77.54,Mensual,REE_generacion_renovable
2024-07-01,2024-07,AND,ENE_REN,71.32,Mensual,REE_generacion_renovable
2024-08-01,2024-08,AND,ENE_REN,66.6,Mensual,REE_generacion_renovable
2024-09-01,2024-09,AND,ENE_REN,69.28,Mensual,REE_generacion_renovable
