Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-Q1,AND,GOB_EFF,0.9,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2016-04-01,2016-Q2,AND,GOB_EFF,0.7777777777777778,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2016-07-01,2016-Q3,AND,GOB_EFF,0.3888888888888889,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2016-10-01,2016-Q4,AND,GOB_EFF,1.1764705882352942,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2017-01-01,2017-Q1,AND,GOB_EFF,0.8333333333333334,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2017-04-01,2017-Q2,AND,GOB_EFF,1.1764705882352942,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2017-07-01,2017-Q3,AND,GOB_EFF,1.0,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2017-10-01,2017-Q4,AND,GOB_EFF,0.7272727272727273,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2018-01-01,2018-Q1,AND,GOB_EFF,0.4615384615384615,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2018-04-01,2018-Q2,AND,GOB_EFF,1.4,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2018-07-01,2018-Q3,AND,GOB_EFF,0.2,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2018-10-01,2018-Q4,AND,GOB_EFF,0.375,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2019-01-01,2019-Q1,AND,GOB_EFF,0.3684210526315789,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2019-04-01,2019-Q2,AND,GOB_EFF,1.8571428571428568,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2019-07-01,2019-Q3,AND,GOB_EFF,2.0,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2019-10-01,2019-Q4,AND,GOB_EFF,1.5714285714285714,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2020-01-01,2020-Q1,AND,GOB_EFF,1.0,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2020-04-01,2020-Q2,AND,GOB_EFF,1.0,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2020-07-01,2020-Q3,AND,GOB_EFF,0.8888888888888888,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2020-10-01,2020-Q4,AND,GOB_EFF,1.5,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2021-01-01,2021-Q1,AND,GOB_EFF,0.4285714285714285,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2021-04-01,2021-Q2,AND,GOB_EFF,0.1304347826086956,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2021-07-01,2021-Q3,AND,GOB_EFF,1.125,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2021-10-01,2021-Q4,AND,GOB_EFF,0.7777777777777778,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
2022-01-01,2022-Q1,AND,GOB_EFF,1.5,Trimestral,CGPJ_Eficiencia Judicial ante la Corrupción
