Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-Q1,AND,GOB_TRA,-0.161,Trimestral,GOB_TRA
2016-04-01,2016-Q2,AND,GOB_TRA,-0.236,Trimestral,GOB_TRA
2016-07-01,2016-Q3,AND,GOB_TRA,-0.355,Trimestral,GOB_TRA
2016-10-01,2016-Q4,AND,GOB_TRA,-0.375,Trimestral,GOB_TRA
2017-01-01,2017-Q1,AND,GOB_TRA,-0.464,Trimestral,GOB_TRA
2017-04-01,2017-Q2,AND,GOB_TRA,-0.428,Trimestral,GOB_TRA
2017-07-01,2017-Q3,AND,GOB_TRA,-0.308,Trimestral,GOB_TRA
2017-10-01,2017-Q4,AND,GOB_TRA,-0.401,Trimestral,GOB_TRA
2018-01-01,2018-Q1,AND,GOB_TRA,-0.484,Trimestral,GOB_TRA
2018-04-01,2018-Q2,AND,GOB_TRA,-0.41,Trimestral,GOB_TRA
2018-07-01,2018-Q3,AND,GOB_TRA,-0.317,Trimestral,GOB_TRA
2018-10-01,2018-Q4,AND,GOB_TRA,-0.236,Trimestral,GOB_TRA
2019-01-01,2019-Q1,AND,GOB_TRA,-0.287,Trimestral,GOB_TRA
2019-04-01,2019-Q2,AND,GOB_TRA,-0.278,Trimestral,GOB_TRA
2019-07-01,2019-Q3,AND,GOB_TRA,-0.382,Trimestral,GOB_TRA
2019-10-01,2019-Q4,AND,GOB_TRA,-0.353,Trimestral,GOB_TRA
2020-01-01,2020-Q1,AND,GOB_TRA,-0.327,Trimestral,GOB_TRA
2020-04-01,2020-Q2,AND,GOB_TRA,-0.318,Trimestral,GOB_TRA
2020-07-01,2020-Q3,AND,GOB_TRA,-0.236,Trimestral,GOB_TRA
2020-10-01,2020-Q4,AND,GOB_TRA,-0.206,Trimestral,GOB_TRA
2021-01-01,2021-Q1,AND,GOB_TRA,-0.112,Trimestral,GOB_TRA
2021-04-01,2021-Q2,AND,GOB_TRA,-0.204,Trimestral,GOB_TRA
2021-07-01,2021-Q3,AND,GOB_TRA,-0.213,Trimestral,GOB_TRA
2021-10-01,2021-Q4,AND,GOB_TRA,-0.282,Trimestral,GOB_TRA
2022-01-01,2022-Q1,AND,GOB_TRA,-0.31,Trimestral,GOB_TRA
2022-04-01,2022-Q2,AND,GOB_TRA,-0.246,Trimestral,GOB_TRA
2022-07-01,2022-Q3,AND,GOB_TRA,-0.316,Trimestral,GOB_TRA
2022-10-01,2022-Q4,AND,GOB_TRA,-0.382,Trimestral,GOB_TRA
2023-01-01,2023-Q1,AND,GOB_TRA,-0.449,Trimestral,GOB_TRA
2023-04-01,2023-Q2,AND,GOB_TRA,-0.488,Trimestral,GOB_TRA
2023-07-01,2023-Q3,AND,GOB_TRA,-0.385,Trimestral,GOB_TRA
2023-10-01,2023-Q4,AND,GOB_TRA,-0.327,Trimestral,GOB_TRA
2024-01-01,2024-Q1,AND,GOB_TRA,-0.337,Trimestral,GOB_TRA
2024-04-01,2024-Q2,AND,GOB_TRA,-0.293,Trimestral,GOB_TRA
2024-07-01,2024-Q3,AND,GOB_TRA,-0.383,Trimestral,GOB_TRA
2024-10-01,2024-Q4,AND,GOB_TRA,-0.392,Trimestral,GOB_TRA
2025-01-01,2025-Q1,AND,GOB_TRA,-0.298,Trimestral,GOB_TRA
2025-04-01,2025-Q2,AND,GOB_TRA,-0.348,Trimestral,GOB_TRA
2025-07-01,2025-Q3,AND,GOB_TRA,-0.362,Trimestral,GOB_TRA
2016-01-01,2016-Q1,ESP,GOB_TRA,-0.119,Trimestral,GOB_TRA
2016-04-01,2016-Q2,ESP,GOB_TRA,-0.18,Trimestral,GOB_TRA
2016-07-01,2016-Q3,ESP,GOB_TRA,-0.141,Trimestral,GOB_TRA
2016-10-01,2016-Q4,ESP,GOB_TRA,-0.267,Trimestral,GOB_TRA
2017-01-01,2017-Q1,ESP,GOB_TRA,-0.225,Trimestral,GOB_TRA
2017-04-01,2017-Q2,ESP,GOB_TRA,-0.229,Trimestral,GOB_TRA
2017-07-01,2017-Q3,ESP,GOB_TRA,-0.238,Trimestral,GOB_TRA
2017-10-01,2017-Q4,ESP,GOB_TRA,-0.138,Trimestral,GOB_TRA
2018-01-01,2018-Q1,ESP,GOB_TRA,-0.085,Trimestral,GOB_TRA
2018-04-01,2018-Q2,ESP,GOB_TRA,0.005,Trimestral,GOB_TRA
2018-07-01,2018-Q3,ESP,GOB_TRA,-0.1,Trimestral,GOB_TRA
2018-10-01,2018-Q4,ESP,GOB_TRA,-0.16,Trimestral,GOB_TRA
2019-01-01,2019-Q1,ESP,GOB_TRA,-0.234,Trimestral,GOB_TRA
2019-04-01,2019-Q2,ESP,GOB_TRA,-0.274,Trimestral,GOB_TRA
2019-07-01,2019-Q3,ESP,GOB_TRA,-0.184,Trimestral,GOB_TRA
2019-10-01,2019-Q4,ESP,GOB_TRA,-0.192,Trimestral,GOB_TRA
2020-01-01,2020-Q1,ESP,GOB_TRA,-0.152,Trimestral,GOB_TRA
2020-04-01,2020-Q2,ESP,GOB_TRA,-0.257,Trimestral,GOB_TRA
2020-07-01,2020-Q3,ESP,GOB_TRA,-0.283,Trimestral,GOB_TRA
2020-10-01,2020-Q4,ESP,GOB_TRA,-0.274,Trimestral,GOB_TRA
2021-01-01,2021-Q1,ESP,GOB_TRA,-0.258,Trimestral,GOB_TRA
2021-04-01,2021-Q2,ESP,GOB_TRA,-0.192,Trimestral,GOB_TRA
2021-07-01,2021-Q3,ESP,GOB_TRA,-0.173,Trimestral,GOB_TRA
2021-10-01,2021-Q4,ESP,GOB_TRA,-0.112,Trimestral,GOB_TRA
2022-01-01,2022-Q1,ESP,GOB_TRA,-0.194,Trimestral,GOB_TRA
2022-04-01,2022-Q2,ESP,GOB_TRA,-0.159,Trimestral,GOB_TRA
2022-07-01,2022-Q3,ESP,GOB_TRA,-0.174,Trimestral,GOB_TRA
2022-10-01,2022-Q4,ESP,GOB_TRA,-0.226,Trimestral,GOB_TRA
2023-01-01,2023-Q1,ESP,GOB_TRA,-0.158,Trimestral,GOB_TRA
2023-04-01,2023-Q2,ESP,GOB_TRA,-0.234,Trimestral,GOB_TRA
