Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2012-01-01,2012-M01,AND,INF_TRA,18597.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-02-01,2012-M02,AND,INF_TRA,17595.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-03-01,2012-M03,AND,INF_TRA,20103.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-04-01,2012-M04,AND,INF_TRA,19125.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-05-01,2012-M05,AND,INF_TRA,20580.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-06-01,2012-M06,AND,INF_TRA,18288.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-07-01,2012-M07,AND,INF_TRA,16651.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-08-01,2012-M08,AND,INF_TRA,14108.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-09-01,2012-M09,AND,INF_TRA,16990.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-10-01,2012-M10,AND,INF_TRA,20512.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-11-01,2012-M11,AND,INF_TRA,18345.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2012-12-01,2012-M12,AND,INF_TRA,17604.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-01-01,2013-M01,AND,INF_TRA,17954.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-02-01,2013-M02,AND,INF_TRA,16645.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-03-01,2013-M03,AND,INF_TRA,18165.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-04-01,2013-M04,AND,INF_TRA,20277.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-05-01,2013-M05,AND,INF_TRA,20233.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-06-01,2013-M06,AND,INF_TRA,17583.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-07-01,2013-M07,AND,INF_TRA,16386.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
2013-08-01,2013-M08,AND,INF_TRA,13508.0,Mensual,Transporte urbano regular por autobús. Andalucía. Viajeros transportados. 
