Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-M01,AND,INV_HIP,15834.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-02-01,2010-M02,AND,INV_HIP,17165.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-03-01,2010-M03,AND,INV_HIP,15144.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-04-01,2010-M04,AND,INV_HIP,13462.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-05-01,2010-M05,AND,INV_HIP,14988.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-06-01,2010-M06,AND,INV_HIP,15692.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-07-01,2010-M07,AND,INV_HIP,13463.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-08-01,2010-M08,AND,INV_HIP,13110.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-09-01,2010-M09,AND,INV_HIP,15293.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-10-01,2010-M10,AND,INV_HIP,11308.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-11-01,2010-M11,AND,INV_HIP,11971.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2010-12-01,2010-M12,AND,INV_HIP,10531.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-01-01,2011-M01,AND,INV_HIP,14235.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-02-01,2011-M02,AND,INV_HIP,13539.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-03-01,2011-M03,AND,INV_HIP,14516.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-04-01,2011-M04,AND,INV_HIP,10682.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-05-01,2011-M05,AND,INV_HIP,10976.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-06-01,2011-M06,AND,INV_HIP,10825.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-07-01,2011-M07,AND,INV_HIP,8762.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-08-01,2011-M08,AND,INV_HIP,9739.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-09-01,2011-M09,AND,INV_HIP,9684.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-10-01,2011-M10,AND,INV_HIP,8135.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-11-01,2011-M11,AND,INV_HIP,9495.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2011-12-01,2011-M12,AND,INV_HIP,7743.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-01-01,2012-M01,AND,INV_HIP,8835.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-02-01,2012-M02,AND,INV_HIP,8009.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-03-01,2012-M03,AND,INV_HIP,8939.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-04-01,2012-M04,AND,INV_HIP,6790.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-05-01,2012-M05,AND,INV_HIP,8140.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-06-01,2012-M06,AND,INV_HIP,8489.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-07-01,2012-M07,AND,INV_HIP,8140.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-08-01,2012-M08,AND,INV_HIP,6723.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-09-01,2012-M09,AND,INV_HIP,7972.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-10-01,2012-M10,AND,INV_HIP,6274.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-11-01,2012-M11,AND,INV_HIP,5862.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2012-12-01,2012-M12,AND,INV_HIP,4679.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2013-01-01,2013-M01,AND,INV_HIP,7714.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2013-02-01,2013-M02,AND,INV_HIP,7229.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2013-03-01,2013-M03,AND,INV_HIP,4990.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2013-04-01,2013-M04,AND,INV_HIP,5936.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2013-05-01,2013-M05,AND,INV_HIP,6382.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
2013-06-01,2013-M06,AND,INV_HIP,4896.0,Mensual,Total fincas. Andalucía. Número de hipotecas. Base nueva. Mensual. 
