Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-Q1,AND,INV_IED,90283.47,Trimestral,DataInvex_CCAA
2016-04-01,2016-Q2,AND,INV_IED,130771.69,Trimestral,DataInvex_CCAA
2016-07-01,2016-Q3,AND,INV_IED,68956.65,Trimestral,DataInvex_CCAA
2016-10-01,2016-Q4,AND,INV_IED,171464.83999999997,Trimestral,DataInvex_CCAA
2017-01-01,2017-Q1,AND,INV_IED,88914.27,Trimestral,DataInvex_CCAA
2017-04-01,2017-Q2,AND,INV_IED,80638.98,Trimestral,DataInvex_CCAA
2017-07-01,2017-Q3,AND,INV_IED,160376.26,Trimestral,DataInvex_CCAA
2017-10-01,2017-Q4,AND,INV_IED,121182.49000000002,Trimestral,DataInvex_CCAA
2018-01-01,2018-Q1,AND,INV_IED,91033.71,Trimestral,DataInvex_CCAA
2018-04-01,2018-Q2,AND,INV_IED,66312.35,Trimestral,DataInvex_CCAA
2018-07-01,2018-Q3,AND,INV_IED,176466.94,Trimestral,DataInvex_CCAA
2018-10-01,2018-Q4,AND,INV_IED,85149.01999999999,Trimestral,DataInvex_CCAA
2019-01-01,2019-Q1,AND,INV_IED,72333.91,Trimestral,DataInvex_CCAA
2019-04-01,2019-Q2,AND,INV_IED,235760.82,Trimestral,DataInvex_CCAA
2019-07-01,2019-Q3,AND,INV_IED,273840.43,Trimestral,DataInvex_CCAA
2019-10-01,2019-Q4,AND,INV_IED,234938.08999999997,Trimestral,DataInvex_CCAA
2020-01-01,2020-Q1,AND,INV_IED,128764.1,Trimestral,DataInvex_CCAA
2020-04-01,2020-Q2,AND,INV_IED,463572.31,Trimestral,DataInvex_CCAA
2020-07-01,2020-Q3,AND,INV_IED,35644.48,Trimestral,DataInvex_CCAA
2020-10-01,2020-Q4,AND,INV_IED,143060.64,Trimestral,DataInvex_CCAA
2021-01-01,2021-Q1,AND,INV_IED,156237.75999999998,Trimestral,DataInvex_CCAA
2021-04-01,2021-Q2,AND,INV_IED,41498.75,Trimestral,DataInvex_CCAA
2021-07-01,2021-Q3,AND,INV_IED,285097.4,Trimestral,DataInvex_CCAA
2021-10-01,2021-Q4,AND,INV_IED,295030.19999999995,Trimestral,DataInvex_CCAA
2022-01-01,2022-Q1,AND,INV_IED,887251.94,Trimestral,DataInvex_CCAA
2022-04-01,2022-Q2,AND,INV_IED,82879.41,Trimestral,DataInvex_CCAA
2022-07-01,2022-Q3,AND,INV_IED,106109.85999999999,Trimestral,DataInvex_CCAA
2022-10-01,2022-Q4,AND,INV_IED,151552.68000000002,Trimestral,DataInvex_CCAA
2023-01-01,2023-Q1,AND,INV_IED,123453.87999999998,Trimestral,DataInvex_CCAA
2023-04-01,2023-Q2,AND,INV_IED,60576.09,Trimestral,DataInvex_CCAA
2023-07-01,2023-Q3,AND,INV_IED,283783.97,Trimestral,DataInvex_CCAA
2023-10-01,2023-Q4,AND,INV_IED,127601.82,Trimestral,DataInvex_CCAA
2024-01-01,2024-Q1,AND,INV_IED,234905.49000000002,Trimestral,DataInvex_CCAA
2024-04-01,2024-Q2,AND,INV_IED,211882.46999999997,Trimestral,DataInvex_CCAA
2024-07-01,2024-Q3,AND,INV_IED,170075.73000000007,Trimestral,DataInvex_CCAA
2024-10-01,2024-Q4,AND,INV_IED,354108.04,Trimestral,DataInvex_CCAA
2025-01-01,2025-Q1,AND,INV_IED,139838.55000000002,Trimestral,DataInvex_CCAA
2025-04-01,2025-Q2,AND,INV_IED,267000.38000000006,Trimestral,DataInvex_CCAA
2025-07-01,2025-Q3,AND,INV_IED,683965.02,Trimestral,DataInvex_CCAA
2016-01-01,2016-Q1,ARA,INV_IED,9438.949999999999,Trimestral,DataInvex_CCAA
2016-04-01,2016-Q2,ARA,INV_IED,7837.1,Trimestral,DataInvex_CCAA
2016-07-01,2016-Q3,ARA,INV_IED,8665.98,Trimestral,DataInvex_CCAA
2016-10-01,2016-Q4,ARA,INV_IED,11342.88,Trimestral,DataInvex_CCAA
2017-01-01,2017-Q1,ARA,INV_IED,1020.6400000000001,Trimestral,DataInvex_CCAA
2017-04-01,2017-Q2,ARA,INV_IED,68847.1,Trimestral,DataInvex_CCAA
2017-07-01,2017-Q3,ARA,INV_IED,3491.82,Trimestral,DataInvex_CCAA
2017-10-01,2017-Q4,ARA,INV_IED,118164.21999999999,Trimestral,DataInvex_CCAA
2018-01-01,2018-Q1,ARA,INV_IED,22700.129999999997,Trimestral,DataInvex_CCAA
2018-04-01,2018-Q2,ARA,INV_IED,2795.87,Trimestral,DataInvex_CCAA
2018-07-01,2018-Q3,ARA,INV_IED,94004.66,Trimestral,DataInvex_CCAA
2018-10-01,2018-Q4,ARA,INV_IED,215200.29,Trimestral,DataInvex_CCAA
2019-01-01,2019-Q1,ARA,INV_IED,26279.06,Trimestral,DataInvex_CCAA
2019-04-01,2019-Q2,ARA,INV_IED,1896.73,Trimestral,DataInvex_CCAA
2019-07-01,2019-Q3,ARA,INV_IED,41740.25,Trimestral,DataInvex_CCAA
2019-10-01,2019-Q4,ARA,INV_IED,34001.06,Trimestral,DataInvex_CCAA
2020-01-01,2020-Q1,ARA,INV_IED,1969.27,Trimestral,DataInvex_CCAA
2020-04-01,2020-Q2,ARA,INV_IED,1701.59,Trimestral,DataInvex_CCAA
2020-07-01,2020-Q3,ARA,INV_IED,4841.21,Trimestral,DataInvex_CCAA
2020-10-01,2020-Q4,ARA,INV_IED,14062.19,Trimestral,DataInvex_CCAA
2021-01-01,2021-Q1,ARA,INV_IED,1895.28,Trimestral,DataInvex_CCAA
2021-04-01,2021-Q2,ARA,INV_IED,91074.01999999999,Trimestral,DataInvex_CCAA
2021-07-01,2021-Q3,ARA,INV_IED,17486.2,Trimestral,DataInvex_CCAA
2021-10-01,2021-Q4,ARA,INV_IED,83746.81999999999,Trimestral,DataInvex_CCAA
2022-01-01,2022-Q1,ARA,INV_IED,21088.04,Trimestral,DataInvex_CCAA
2022-04-01,2022-Q2,ARA,INV_IED,44155.24,Trimestral,DataInvex_CCAA
2022-07-01,2022-Q3,ARA,INV_IED,312541.87999999995,Trimestral,DataInvex_CCAA
2022-10-01,2022-Q4,ARA,INV_IED,76036.79000000001,Trimestral,DataInvex_CCAA
2023-01-01,2023-Q1,ARA,INV_IED,68632.51,Trimestral,DataInvex_CCAA
2023-04-01,2023-Q2,ARA,INV_IED,47477.91,Trimestral,DataInvex_CCAA
2023-07-01,2023-Q3,ARA,INV_IED,47798.09,Trimestral,DataInvex_CCAA
2023-10-01,2023-Q4,ARA,INV_IED,99382.96,Trimestral,DataInvex_CCAA
2024-01-01,2024-Q1,ARA,INV_IED,259302.12,Trimestral,DataInvex_CCAA
2024-04-01,2024-Q2,ARA,INV_IED,172594.94000000003,Trimestral,DataInvex_CCAA
2024-07-01,2024-Q3,ARA,INV_IED,171269.67999999996,Trimestral,DataInvex_CCAA
2024-10-01,2024-Q4,ARA,INV_IED,325821.57,Trimestral,DataInvex_CCAA
2025-01-01,2025-Q1,ARA,INV_IED,59118.15,Trimestral,DataInvex_CCAA
2025-04-01,2025-Q2,ARA,INV_IED,13677.02,Trimestral,DataInvex_CCAA
2025-07-01,2025-Q3,ARA,INV_IED,1432955.4,Trimestral,DataInvex_CCAA
2016-01-01,2016-Q1,AST,INV_IED,10553.0,Trimestral,DataInvex_CCAA
2016-04-01,2016-Q2,AST,INV_IED,277260.44,Trimestral,DataInvex_CCAA
2016-07-01,2016-Q3,AST,INV_IED,178.53,Trimestral,DataInvex_CCAA
2016-10-01,2016-Q4,AST,INV_IED,2240.48,Trimestral,DataInvex_CCAA
2017-01-01,2017-Q1,AST,INV_IED,561.29,Trimestral,DataInvex_CCAA
2017-04-01,2017-Q2,AST,INV_IED,3411.78,Trimestral,DataInvex_CCAA
2017-07-01,2017-Q3,AST,INV_IED,25574.76,Trimestral,DataInvex_CCAA
2017-10-01,2017-Q4,AST,INV_IED,1853.0,Trimestral,DataInvex_CCAA
2018-01-01,2018-Q1,AST,INV_IED,675.1,Trimestral,DataInvex_CCAA
2018-04-01,2018-Q2,AST,INV_IED,3608.2,Trimestral,DataInvex_CCAA
2018-07-01,2018-Q3,AST,INV_IED,5997.4,Trimestral,DataInvex_CCAA
2018-10-01,2018-Q4,AST,INV_IED,1295.68,Trimestral,DataInvex_CCAA
2019-01-01,2019-Q1,AST,INV_IED,103112.92,Trimestral,DataInvex_CCAA
2019-04-01,2019-Q2,AST,INV_IED,1256.45,Trimestral,DataInvex_CCAA
2019-07-01,2019-Q3,AST,INV_IED,6.0,Trimestral,DataInvex_CCAA
