Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2017-01-01,2017-Q1,AND,LIB_SEX,516.0,Trimestral,MIR_Criminalidad_Trimestral
2017-04-01,2017-Q2,AND,LIB_SEX,530.0,Trimestral,MIR_Criminalidad_Trimestral
2017-07-01,2017-Q3,AND,LIB_SEX,538.0,Trimestral,MIR_Criminalidad_Trimestral
2017-10-01,2017-Q4,AND,LIB_SEX,480.0,Trimestral,MIR_Criminalidad_Trimestral
2018-01-01,2018-Q1,AND,LIB_SEX,499.0,Trimestral,MIR_Criminalidad_Trimestral
2018-04-01,2018-Q2,AND,LIB_SEX,669.0,Trimestral,MIR_Criminalidad_Trimestral
2018-07-01,2018-Q3,AND,LIB_SEX,644.0,Trimestral,MIR_Criminalidad_Trimestral
2018-10-01,2018-Q4,AND,LIB_SEX,536.0,Trimestral,MIR_Criminalidad_Trimestral
2019-01-01,2019-Q1,AND,LIB_SEX,599.0,Trimestral,MIR_Criminalidad_Trimestral
2019-04-01,2019-Q2,AND,LIB_SEX,619.0,Trimestral,MIR_Criminalidad_Trimestral
2019-07-01,2019-Q3,AND,LIB_SEX,673.0,Trimestral,MIR_Criminalidad_Trimestral
2019-10-01,2019-Q4,AND,LIB_SEX,625.0,Trimestral,MIR_Criminalidad_Trimestral
2020-01-01,2020-Q1,AND,LIB_SEX,532.0,Trimestral,MIR_Criminalidad_Trimestral
2020-04-01,2020-Q2,AND,LIB_SEX,477.0,Trimestral,MIR_Criminalidad_Trimestral
2020-07-01,2020-Q3,AND,LIB_SEX,656.0,Trimestral,MIR_Criminalidad_Trimestral
2020-10-01,2020-Q4,AND,LIB_SEX,550.0,Trimestral,MIR_Criminalidad_Trimestral
2021-01-01,2021-Q1,AND,LIB_SEX,581.0,Trimestral,MIR_Criminalidad_Trimestral
2021-04-01,2021-Q2,AND,LIB_SEX,749.0,Trimestral,MIR_Criminalidad_Trimestral
2021-07-01,2021-Q3,AND,LIB_SEX,682.0,Trimestral,MIR_Criminalidad_Trimestral
2021-10-01,2021-Q4,AND,LIB_SEX,678.0,Trimestral,MIR_Criminalidad_Trimestral
2022-01-01,2022-Q1,AND,LIB_SEX,751.0,Trimestral,MIR_Criminalidad_Trimestral
2022-04-01,2022-Q2,AND,LIB_SEX,855.0,Trimestral,MIR_Criminalidad_Trimestral
2022-07-01,2022-Q3,AND,LIB_SEX,795.0,Trimestral,MIR_Criminalidad_Trimestral
2022-10-01,2022-Q4,AND,LIB_SEX,759.0,Trimestral,MIR_Criminalidad_Interpolado_2022Q4
2023-01-01,2023-Q1,AND,LIB_SEX,723.0,Trimestral,MIR_Criminalidad_Trimestral
2023-04-01,2023-Q2,AND,LIB_SEX,848.0,Trimestral,MIR_Criminalidad_Trimestral
2023-07-01,2023-Q3,AND,LIB_SEX,787.0,Trimestral,MIR_Criminalidad_Trimestral
2023-10-01,2023-Q4,AND,LIB_SEX,704.0,Trimestral,MIR_Criminalidad_Trimestral
2024-01-01,2024-Q1,AND,LIB_SEX,694.0,Trimestral,MIR_Criminalidad_Trimestral
2024-04-01,2024-Q2,AND,LIB_SEX,812.0,Trimestral,MIR_Criminalidad_Trimestral
2024-07-01,2024-Q3,AND,LIB_SEX,883.0,Trimestral,MIR_Criminalidad_Trimestral
2024-10-01,2024-Q4,AND,LIB_SEX,766.0,Trimestral,MIR_Criminalidad_Trimestral
2025-01-01,2025-Q1,AND,LIB_SEX,662.0,Trimestral,MIR_Criminalidad_Trimestral
2025-04-01,2025-Q2,AND,LIB_SEX,855.0,Trimestral,MIR_Criminalidad_Trimestral
2025-07-01,2025-Q3,AND,LIB_SEX,880.0,Trimestral,MIR_Criminalidad_Trimestral
2017-01-01,2017-Q1,ARA,LIB_SEX,56.0,Trimestral,MIR_Criminalidad_Trimestral
2017-04-01,2017-Q2,ARA,LIB_SEX,59.0,Trimestral,MIR_Criminalidad_Trimestral
2017-07-01,2017-Q3,ARA,LIB_SEX,78.0,Trimestral,MIR_Criminalidad_Trimestral
2017-10-01,2017-Q4,ARA,LIB_SEX,81.0,Trimestral,MIR_Criminalidad_Trimestral
2018-01-01,2018-Q1,ARA,LIB_SEX,72.0,Trimestral,MIR_Criminalidad_Trimestral
2018-04-01,2018-Q2,ARA,LIB_SEX,82.0,Trimestral,MIR_Criminalidad_Trimestral
2018-07-01,2018-Q3,ARA,LIB_SEX,99.0,Trimestral,MIR_Criminalidad_Trimestral
2018-10-01,2018-Q4,ARA,LIB_SEX,91.0,Trimestral,MIR_Criminalidad_Trimestral
2019-01-01,2019-Q1,ARA,LIB_SEX,70.0,Trimestral,MIR_Criminalidad_Trimestral
2019-04-01,2019-Q2,ARA,LIB_SEX,75.0,Trimestral,MIR_Criminalidad_Trimestral
2019-07-01,2019-Q3,ARA,LIB_SEX,90.0,Trimestral,MIR_Criminalidad_Trimestral
2019-10-01,2019-Q4,ARA,LIB_SEX,98.0,Trimestral,MIR_Criminalidad_Trimestral
2020-01-01,2020-Q1,ARA,LIB_SEX,84.0,Trimestral,MIR_Criminalidad_Trimestral
2020-04-01,2020-Q2,ARA,LIB_SEX,61.0,Trimestral,MIR_Criminalidad_Trimestral
2020-07-01,2020-Q3,ARA,LIB_SEX,77.0,Trimestral,MIR_Criminalidad_Trimestral
2020-10-01,2020-Q4,ARA,LIB_SEX,85.0,Trimestral,MIR_Criminalidad_Trimestral
2021-01-01,2021-Q1,ARA,LIB_SEX,80.0,Trimestral,MIR_Criminalidad_Trimestral
2021-04-01,2021-Q2,ARA,LIB_SEX,120.0,Trimestral,MIR_Criminalidad_Trimestral
2021-07-01,2021-Q3,ARA,LIB_SEX,141.0,Trimestral,MIR_Criminalidad_Trimestral
2021-10-01,2021-Q4,ARA,LIB_SEX,102.0,Trimestral,MIR_Criminalidad_Trimestral
2022-01-01,2022-Q1,ARA,LIB_SEX,103.0,Trimestral,MIR_Criminalidad_Trimestral
2022-04-01,2022-Q2,ARA,LIB_SEX,128.0,Trimestral,MIR_Criminalidad_Trimestral
2022-07-01,2022-Q3,ARA,LIB_SEX,87.0,Trimestral,MIR_Criminalidad_Trimestral
2022-10-01,2022-Q4,ARA,LIB_SEX,91.5,Trimestral,MIR_Criminalidad_Interpolado_2022Q4
2023-01-01,2023-Q1,ARA,LIB_SEX,96.0,Trimestral,MIR_Criminalidad_Trimestral
2023-04-01,2023-Q2,ARA,LIB_SEX,125.0,Trimestral,MIR_Criminalidad_Trimestral
2023-07-01,2023-Q3,ARA,LIB_SEX,113.0,Trimestral,MIR_Criminalidad_Trimestral
2023-10-01,2023-Q4,ARA,LIB_SEX,114.0,Trimestral,MIR_Criminalidad_Trimestral
2024-01-01,2024-Q1,ARA,LIB_SEX,89.0,Trimestral,MIR_Criminalidad_Trimestral
2024-04-01,2024-Q2,ARA,LIB_SEX,116.0,Trimestral,MIR_Criminalidad_Trimestral
2024-07-01,2024-Q3,ARA,LIB_SEX,134.0,Trimestral,MIR_Criminalidad_Trimestral
2024-10-01,2024-Q4,ARA,LIB_SEX,96.0,Trimestral,MIR_Criminalidad_Trimestral
2025-01-01,2025-Q1,ARA,LIB_SEX,101.0,Trimestral,MIR_Criminalidad_Trimestral
2025-04-01,2025-Q2,ARA,LIB_SEX,125.0,Trimestral,MIR_Criminalidad_Trimestral
