Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
1975-01-01,1975-ANUAL,AND,SAL_ESP,72.74,Anual,SAL_ESP_AND
1976-01-01,1976-ANUAL,AND,SAL_ESP,72.81,Anual,SAL_ESP_AND
1977-01-01,1977-ANUAL,AND,SAL_ESP,73.51,Anual,SAL_ESP_AND
1978-01-01,1978-ANUAL,AND,SAL_ESP,73.47,Anual,SAL_ESP_AND
1979-01-01,1979-ANUAL,AND,SAL_ESP,74.03,Anual,SAL_ESP_AND
1980-01-01,1980-ANUAL,AND,SAL_ESP,74.45,Anual,SAL_ESP_AND
1981-01-01,1981-ANUAL,AND,SAL_ESP,74.52,Anual,SAL_ESP_AND
1982-01-01,1982-ANUAL,AND,SAL_ESP,74.96,Anual,SAL_ESP_AND
1983-01-01,1983-ANUAL,AND,SAL_ESP,75.15,Anual,SAL_ESP_AND
1984-01-01,1984-ANUAL,AND,SAL_ESP,75.32,Anual,SAL_ESP_AND
1985-01-01,1985-ANUAL,AND,SAL_ESP,75.36,Anual,SAL_ESP_AND
1986-01-01,1986-ANUAL,AND,SAL_ESP,75.52,Anual,SAL_ESP_AND
1987-01-01,1987-ANUAL,AND,SAL_ESP,75.65,Anual,SAL_ESP_AND
1988-01-01,1988-ANUAL,AND,SAL_ESP,75.7,Anual,SAL_ESP_AND
1989-01-01,1989-ANUAL,AND,SAL_ESP,75.84,Anual,SAL_ESP_AND
1990-01-01,1990-ANUAL,AND,SAL_ESP,75.83,Anual,SAL_ESP_AND
1991-01-01,1991-ANUAL,AND,SAL_ESP,76.13,Anual,SAL_ESP_AND
1992-01-01,1992-ANUAL,AND,SAL_ESP,76.65,Anual,SAL_ESP_AND
1993-01-01,1993-ANUAL,AND,SAL_ESP,76.62,Anual,SAL_ESP_AND
1994-01-01,1994-ANUAL,AND,SAL_ESP,77.04,Anual,SAL_ESP_AND
1995-01-01,1995-ANUAL,AND,SAL_ESP,77.06,Anual,SAL_ESP_AND
1996-01-01,1996-ANUAL,AND,SAL_ESP,77.2,Anual,SAL_ESP_AND
1997-01-01,1997-ANUAL,AND,SAL_ESP,77.67,Anual,SAL_ESP_AND
1998-01-01,1998-ANUAL,AND,SAL_ESP,77.57,Anual,SAL_ESP_AND
1999-01-01,1999-ANUAL,AND,SAL_ESP,77.63,Anual,SAL_ESP_AND
2000-01-01,2000-ANUAL,AND,SAL_ESP,78.17,Anual,SAL_ESP_AND
2001-01-01,2001-ANUAL,AND,SAL_ESP,78.46,Anual,SAL_ESP_AND
2002-01-01,2002-ANUAL,AND,SAL_ESP,78.5,Anual,SAL_ESP_AND
2003-01-01,2003-ANUAL,AND,SAL_ESP,78.38,Anual,SAL_ESP_AND
2004-01-01,2004-ANUAL,AND,SAL_ESP,78.89,Anual,SAL_ESP_AND
2005-01-01,2005-ANUAL,AND,SAL_ESP,78.92,Anual,SAL_ESP_AND
2006-01-01,2006-ANUAL,AND,SAL_ESP,79.63,Anual,SAL_ESP_AND
2007-01-01,2007-ANUAL,AND,SAL_ESP,79.66,Anual,SAL_ESP_AND
2008-01-01,2008-ANUAL,AND,SAL_ESP,79.93,Anual,SAL_ESP_AND
2009-01-01,2009-ANUAL,AND,SAL_ESP,80.3,Anual,SAL_ESP_AND
2010-01-01,2010-ANUAL,AND,SAL_ESP,80.76,Anual,SAL_ESP_AND
2011-01-01,2011-ANUAL,AND,SAL_ESP,80.88,Anual,SAL_ESP_AND
2012-01-01,2012-ANUAL,AND,SAL_ESP,80.9,Anual,SAL_ESP_AND
2013-01-01,2013-ANUAL,AND,SAL_ESP,81.48,Anual,SAL_ESP_AND
2014-01-01,2014-ANUAL,AND,SAL_ESP,81.7,Anual,SAL_ESP_AND
2015-01-01,2015-ANUAL,AND,SAL_ESP,81.35,Anual,SAL_ESP_AND
2016-01-01,2016-ANUAL,AND,SAL_ESP,81.83,Anual,SAL_ESP_AND
2017-01-01,2017-ANUAL,AND,SAL_ESP,81.81,Anual,SAL_ESP_AND
2018-01-01,2018-ANUAL,AND,SAL_ESP,81.73,Anual,SAL_ESP_AND
2019-01-01,2019-ANUAL,AND,SAL_ESP,82.2,Anual,SAL_ESP_AND
2020-01-01,2020-ANUAL,AND,SAL_ESP,81.51,Anual,SAL_ESP_AND
2021-01-01,2021-ANUAL,AND,SAL_ESP,81.46,Anual,SAL_ESP_AND
2022-01-01,2022-ANUAL,AND,SAL_ESP,81.86,Anual,SAL_ESP_AND
2023-01-01,2023-ANUAL,AND,SAL_ESP,82.49,Anual,SAL_ESP_AND
2024-01-01,2024-ANUAL,AND,SAL_ESP,82.82,Anual,SAL_ESP_AND
1975-01-01,1975-ANUAL,ARA,SAL_ESP,74.19,Anual,SAL_ESP_ARA
1976-01-01,1976-ANUAL,ARA,SAL_ESP,74.79,Anual,SAL_ESP_ARA
1977-01-01,1977-ANUAL,ARA,SAL_ESP,75.3,Anual,SAL_ESP_ARA
1978-01-01,1978-ANUAL,ARA,SAL_ESP,75.44,Anual,SAL_ESP_ARA
1979-01-01,1979-ANUAL,ARA,SAL_ESP,75.75,Anual,SAL_ESP_ARA
1980-01-01,1980-ANUAL,ARA,SAL_ESP,76.22,Anual,SAL_ESP_ARA
1981-01-01,1981-ANUAL,ARA,SAL_ESP,76.53,Anual,SAL_ESP_ARA
1982-01-01,1982-ANUAL,ARA,SAL_ESP,77.05,Anual,SAL_ESP_ARA
1983-01-01,1983-ANUAL,ARA,SAL_ESP,76.9,Anual,SAL_ESP_ARA
1984-01-01,1984-ANUAL,ARA,SAL_ESP,76.86,Anual,SAL_ESP_ARA
1985-01-01,1985-ANUAL,ARA,SAL_ESP,76.91,Anual,SAL_ESP_ARA
1986-01-01,1986-ANUAL,ARA,SAL_ESP,77.28,Anual,SAL_ESP_ARA
1987-01-01,1987-ANUAL,ARA,SAL_ESP,77.3,Anual,SAL_ESP_ARA
1988-01-01,1988-ANUAL,ARA,SAL_ESP,77.76,Anual,SAL_ESP_ARA
1989-01-01,1989-ANUAL,ARA,SAL_ESP,77.5,Anual,SAL_ESP_ARA
1990-01-01,1990-ANUAL,ARA,SAL_ESP,77.73,Anual,SAL_ESP_ARA
