Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-Q1,AND,SEG_BAL,26466.0,Trimestral,MIR_Criminalidad_Trimestral
2016-04-01,2016-Q2,AND,SEG_BAL,28675.0,Trimestral,MIR_Criminalidad_Trimestral
2016-07-01,2016-Q3,AND,SEG_BAL,29304.0,Trimestral,MIR_Criminalidad_Trimestral
2016-10-01,2016-Q4,AND,SEG_BAL,25143.0,Trimestral,MIR_Criminalidad_Trimestral
2017-01-01,2017-Q1,AND,SEG_BAL,32121.0,Trimestral,MIR_Criminalidad_Trimestral
2017-04-01,2017-Q2,AND,SEG_BAL,32669.0,Trimestral,MIR_Criminalidad_Trimestral
2017-07-01,2017-Q3,AND,SEG_BAL,33666.0,Trimestral,MIR_Criminalidad_Trimestral
2017-10-01,2017-Q4,AND,SEG_BAL,30008.0,Trimestral,MIR_Criminalidad_Trimestral
2018-01-01,2018-Q1,AND,SEG_BAL,28649.0,Trimestral,MIR_Criminalidad_Trimestral
2018-04-01,2018-Q2,AND,SEG_BAL,29926.0,Trimestral,MIR_Criminalidad_Trimestral
2018-07-01,2018-Q3,AND,SEG_BAL,30609.0,Trimestral,MIR_Criminalidad_Trimestral
2018-10-01,2018-Q4,AND,SEG_BAL,27138.0,Trimestral,MIR_Criminalidad_Trimestral
2019-01-01,2019-Q1,AND,SEG_BAL,27367.0,Trimestral,MIR_Criminalidad_Trimestral
2019-04-01,2019-Q2,AND,SEG_BAL,28450.0,Trimestral,MIR_Criminalidad_Trimestral
2019-07-01,2019-Q3,AND,SEG_BAL,30416.0,Trimestral,MIR_Criminalidad_Trimestral
2019-10-01,2019-Q4,AND,SEG_BAL,27620.0,Trimestral,MIR_Criminalidad_Trimestral
2020-01-01,2020-Q1,AND,SEG_BAL,23283.0,Trimestral,MIR_Criminalidad_Trimestral
2020-04-01,2020-Q2,AND,SEG_BAL,11017.0,Trimestral,MIR_Criminalidad_Trimestral
2020-07-01,2020-Q3,AND,SEG_BAL,23058.0,Trimestral,MIR_Criminalidad_Trimestral
2020-10-01,2020-Q4,AND,SEG_BAL,17779.0,Trimestral,MIR_Criminalidad_Trimestral
2021-01-01,2021-Q1,AND,SEG_BAL,16838.0,Trimestral,MIR_Criminalidad_Trimestral
2021-04-01,2021-Q2,AND,SEG_BAL,20161.0,Trimestral,MIR_Criminalidad_Trimestral
2021-07-01,2021-Q3,AND,SEG_BAL,24318.0,Trimestral,MIR_Criminalidad_Trimestral
2021-10-01,2021-Q4,AND,SEG_BAL,23980.0,Trimestral,MIR_Criminalidad_Trimestral
2022-01-01,2022-Q1,AND,SEG_BAL,24646.0,Trimestral,MIR_Criminalidad_Trimestral
2022-04-01,2022-Q2,AND,SEG_BAL,27475.0,Trimestral,MIR_Criminalidad_Trimestral
2022-07-01,2022-Q3,AND,SEG_BAL,29045.0,Trimestral,MIR_Criminalidad_Trimestral
2022-10-01,2022-Q4,AND,SEG_BAL,26683.0,Trimestral,MIR_Criminalidad_Trimestral
2023-01-01,2023-Q1,AND,SEG_BAL,27988.0,Trimestral,MIR_Criminalidad_Trimestral
2023-04-01,2023-Q2,AND,SEG_BAL,28890.0,Trimestral,MIR_Criminalidad_Trimestral
2023-07-01,2023-Q3,AND,SEG_BAL,30430.0,Trimestral,MIR_Criminalidad_Trimestral
2023-10-01,2023-Q4,AND,SEG_BAL,28565.0,Trimestral,MIR_Criminalidad_Trimestral
2024-01-01,2024-Q1,AND,SEG_BAL,26177.0,Trimestral,MIR_Criminalidad_Trimestral
2024-04-01,2024-Q2,AND,SEG_BAL,28761.0,Trimestral,MIR_Criminalidad_Trimestral
2024-07-01,2024-Q3,AND,SEG_BAL,29456.0,Trimestral,MIR_Criminalidad_Trimestral
2024-10-01,2024-Q4,AND,SEG_BAL,26382.0,Trimestral,MIR_Criminalidad_Trimestral
2025-01-01,2025-Q1,AND,SEG_BAL,24752.0,Trimestral,MIR_Criminalidad_Trimestral
2025-04-01,2025-Q2,AND,SEG_BAL,26435.0,Trimestral,MIR_Criminalidad_Trimestral
2025-07-01,2025-Q3,AND,SEG_BAL,27830.0,Trimestral,MIR_Criminalidad_Trimestral
2016-01-01,2016-Q1,ARA,SEG_BAL,2952.0,Trimestral,MIR_Criminalidad_Trimestral
2016-04-01,2016-Q2,ARA,SEG_BAL,3002.0,Trimestral,MIR_Criminalidad_Trimestral
2016-07-01,2016-Q3,ARA,SEG_BAL,2766.0,Trimestral,MIR_Criminalidad_Trimestral
2016-10-01,2016-Q4,ARA,SEG_BAL,3232.0,Trimestral,MIR_Criminalidad_Trimestral
2017-01-01,2017-Q1,ARA,SEG_BAL,3647.0,Trimestral,MIR_Criminalidad_Trimestral
2017-04-01,2017-Q2,ARA,SEG_BAL,3258.0,Trimestral,MIR_Criminalidad_Trimestral
2017-07-01,2017-Q3,ARA,SEG_BAL,3114.0,Trimestral,MIR_Criminalidad_Trimestral
2017-10-01,2017-Q4,ARA,SEG_BAL,3540.0,Trimestral,MIR_Criminalidad_Trimestral
2018-01-01,2018-Q1,ARA,SEG_BAL,3024.0,Trimestral,MIR_Criminalidad_Trimestral
2018-04-01,2018-Q2,ARA,SEG_BAL,3001.0,Trimestral,MIR_Criminalidad_Trimestral
2018-07-01,2018-Q3,ARA,SEG_BAL,3153.0,Trimestral,MIR_Criminalidad_Trimestral
2018-10-01,2018-Q4,ARA,SEG_BAL,3949.0,Trimestral,MIR_Criminalidad_Trimestral
2019-01-01,2019-Q1,ARA,SEG_BAL,3280.0,Trimestral,MIR_Criminalidad_Trimestral
2019-04-01,2019-Q2,ARA,SEG_BAL,3151.0,Trimestral,MIR_Criminalidad_Trimestral
2019-07-01,2019-Q3,ARA,SEG_BAL,2858.0,Trimestral,MIR_Criminalidad_Trimestral
2019-10-01,2019-Q4,ARA,SEG_BAL,3573.0,Trimestral,MIR_Criminalidad_Trimestral
2020-01-01,2020-Q1,ARA,SEG_BAL,2579.0,Trimestral,MIR_Criminalidad_Trimestral
2020-04-01,2020-Q2,ARA,SEG_BAL,1294.0,Trimestral,MIR_Criminalidad_Trimestral
2020-07-01,2020-Q3,ARA,SEG_BAL,2492.0,Trimestral,MIR_Criminalidad_Trimestral
2020-10-01,2020-Q4,ARA,SEG_BAL,2283.0,Trimestral,MIR_Criminalidad_Trimestral
2021-01-01,2021-Q1,ARA,SEG_BAL,2183.0,Trimestral,MIR_Criminalidad_Trimestral
2021-04-01,2021-Q2,ARA,SEG_BAL,2542.0,Trimestral,MIR_Criminalidad_Trimestral
2021-07-01,2021-Q3,ARA,SEG_BAL,2883.0,Trimestral,MIR_Criminalidad_Trimestral
2021-10-01,2021-Q4,ARA,SEG_BAL,3351.0,Trimestral,MIR_Criminalidad_Trimestral
2022-01-01,2022-Q1,ARA,SEG_BAL,3265.0,Trimestral,MIR_Criminalidad_Trimestral
2022-04-01,2022-Q2,ARA,SEG_BAL,3204.0,Trimestral,MIR_Criminalidad_Trimestral
2022-07-01,2022-Q3,ARA,SEG_BAL,2634.0,Trimestral,MIR_Criminalidad_Trimestral
2022-10-01,2022-Q4,ARA,SEG_BAL,3979.0,Trimestral,MIR_Criminalidad_Trimestral
2023-01-01,2023-Q1,ARA,SEG_BAL,3338.0,Trimestral,MIR_Criminalidad_Trimestral
2023-04-01,2023-Q2,ARA,SEG_BAL,2800.0,Trimestral,MIR_Criminalidad_Trimestral
2023-07-01,2023-Q3,ARA,SEG_BAL,2816.0,Trimestral,MIR_Criminalidad_Trimestral
2023-10-01,2023-Q4,ARA,SEG_BAL,3634.0,Trimestral,MIR_Criminalidad_Trimestral
2024-01-01,2024-Q1,ARA,SEG_BAL,3590.0,Trimestral,MIR_Criminalidad_Trimestral
2024-04-01,2024-Q2,ARA,SEG_BAL,3374.0,Trimestral,MIR_Criminalidad_Trimestral
2024-07-01,2024-Q3,ARA,SEG_BAL,3358.0,Trimestral,MIR_Criminalidad_Trimestral
2024-10-01,2024-Q4,ARA,SEG_BAL,3976.0,Trimestral,MIR_Criminalidad_Trimestral
2025-01-01,2025-Q1,ARA,SEG_BAL,3518.0,Trimestral,MIR_Criminalidad_Trimestral
2025-04-01,2025-Q2,ARA,SEG_BAL,3280.0,Trimestral,MIR_Criminalidad_Trimestral
2025-07-01,2025-Q3,ARA,SEG_BAL,3447.0,Trimestral,MIR_Criminalidad_Trimestral
2016-01-01,2016-Q1,AST,SEG_BAL,1820.0,Trimestral,MIR_Criminalidad_Trimestral
2016-04-01,2016-Q2,AST,SEG_BAL,1835.0,Trimestral,MIR_Criminalidad_Trimestral
2016-07-01,2016-Q3,AST,SEG_BAL,2113.0,Trimestral,MIR_Criminalidad_Trimestral
2016-10-01,2016-Q4,AST,SEG_BAL,1872.0,Trimestral,MIR_Criminalidad_Trimestral
2017-01-01,2017-Q1,AST,SEG_BAL,2227.0,Trimestral,MIR_Criminalidad_Trimestral
2017-04-01,2017-Q2,AST,SEG_BAL,2253.0,Trimestral,MIR_Criminalidad_Trimestral
2017-07-01,2017-Q3,AST,SEG_BAL,2363.0,Trimestral,MIR_Criminalidad_Trimestral
2017-10-01,2017-Q4,AST,SEG_BAL,2155.0,Trimestral,MIR_Criminalidad_Trimestral
2018-01-01,2018-Q1,AST,SEG_BAL,2067.0,Trimestral,MIR_Criminalidad_Trimestral
2018-04-01,2018-Q2,AST,SEG_BAL,2036.0,Trimestral,MIR_Criminalidad_Trimestral
2018-07-01,2018-Q3,AST,SEG_BAL,2383.0,Trimestral,MIR_Criminalidad_Trimestral
2018-10-01,2018-Q4,AST,SEG_BAL,2211.0,Trimestral,MIR_Criminalidad_Trimestral
2019-01-01,2019-Q1,AST,SEG_BAL,2143.0,Trimestral,MIR_Criminalidad_Trimestral
2019-04-01,2019-Q2,AST,SEG_BAL,2028.0,Trimestral,MIR_Criminalidad_Trimestral
2019-07-01,2019-Q3,AST,SEG_BAL,2098.0,Trimestral,MIR_Criminalidad_Trimestral
2019-10-01,2019-Q4,AST,SEG_BAL,2082.0,Trimestral,MIR_Criminalidad_Trimestral
2020-01-01,2020-Q1,AST,SEG_BAL,1733.0,Trimestral,MIR_Criminalidad_Trimestral
2020-04-01,2020-Q2,AST,SEG_BAL,718.0,Trimestral,MIR_Criminalidad_Trimestral
2020-07-01,2020-Q3,AST,SEG_BAL,1668.0,Trimestral,MIR_Criminalidad_Trimestral
2020-10-01,2020-Q4,AST,SEG_BAL,1149.0,Trimestral,MIR_Criminalidad_Trimestral
2021-01-01,2021-Q1,AST,SEG_BAL,1117.0,Trimestral,MIR_Criminalidad_Trimestral
2021-04-01,2021-Q2,AST,SEG_BAL,1318.0,Trimestral,MIR_Criminalidad_Trimestral
2021-07-01,2021-Q3,AST,SEG_BAL,1706.0,Trimestral,MIR_Criminalidad_Trimestral
2021-10-01,2021-Q4,AST,SEG_BAL,1770.0,Trimestral,MIR_Criminalidad_Trimestral
2022-01-01,2022-Q1,AST,SEG_BAL,1823.0,Trimestral,MIR_Criminalidad_Trimestral
2022-04-01,2022-Q2,AST,SEG_BAL,1804.0,Trimestral,MIR_Criminalidad_Trimestral
