Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2017-01-01,2017-Q1,AND,SEG_CRI,83227.0,Trimestral,MIR_Criminalidad_Trimestral
2017-04-01,2017-Q2,AND,SEG_CRI,84456.0,Trimestral,MIR_Criminalidad_Trimestral
2017-07-01,2017-Q3,AND,SEG_CRI,86154.0,Trimestral,MIR_Criminalidad_Trimestral
2017-10-01,2017-Q4,AND,SEG_CRI,80494.0,Trimestral,MIR_Criminalidad_Trimestral
2018-01-01,2018-Q1,AND,SEG_CRI,78377.0,Trimestral,MIR_Criminalidad_Trimestral
2018-04-01,2018-Q2,AND,SEG_CRI,84368.0,Trimestral,MIR_Criminalidad_Trimestral
2018-07-01,2018-Q3,AND,SEG_CRI,87794.0,Trimestral,MIR_Criminalidad_Trimestral
2018-10-01,2018-Q4,AND,SEG_CRI,82660.0,Trimestral,MIR_Criminalidad_Trimestral
2019-01-01,2019-Q1,AND,SEG_CRI,81460.0,Trimestral,MIR_Criminalidad_Trimestral
2019-04-01,2019-Q2,AND,SEG_CRI,84235.0,Trimestral,MIR_Criminalidad_Trimestral
2019-07-01,2019-Q3,AND,SEG_CRI,90067.0,Trimestral,MIR_Criminalidad_Trimestral
2019-10-01,2019-Q4,AND,SEG_CRI,84192.0,Trimestral,MIR_Criminalidad_Trimestral
2020-01-01,2020-Q1,AND,SEG_CRI,76154.0,Trimestral,MIR_Criminalidad_Trimestral
2020-04-01,2020-Q2,AND,SEG_CRI,56115.0,Trimestral,MIR_Criminalidad_Trimestral
2020-07-01,2020-Q3,AND,SEG_CRI,84561.0,Trimestral,MIR_Criminalidad_Trimestral
2020-10-01,2020-Q4,AND,SEG_CRI,71664.0,Trimestral,MIR_Criminalidad_Trimestral
2021-01-01,2021-Q1,AND,SEG_CRI,69927.0,Trimestral,MIR_Criminalidad_Trimestral
2021-04-01,2021-Q2,AND,SEG_CRI,76761.0,Trimestral,MIR_Criminalidad_Trimestral
2021-07-01,2021-Q3,AND,SEG_CRI,83883.0,Trimestral,MIR_Criminalidad_Trimestral
2021-10-01,2021-Q4,AND,SEG_CRI,84323.0,Trimestral,MIR_Criminalidad_Trimestral
2022-01-01,2022-Q1,AND,SEG_CRI,88408.0,Trimestral,MIR_Criminalidad_Trimestral
2022-04-01,2022-Q2,AND,SEG_CRI,94772.0,Trimestral,MIR_Criminalidad_Trimestral
2022-07-01,2022-Q3,AND,SEG_CRI,101256.0,Trimestral,MIR_Criminalidad_Trimestral
2022-10-01,2022-Q4,AND,SEG_CRI,95104.0,Trimestral,MIR_Criminalidad_Trimestral
