Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2009-01-01,2009-M01,AND,SOC_ASO,83306.8,Mensual,SS_Asociativo
2009-02-01,2009-M02,AND,SOC_ASO,82609.2,Mensual,SS_Asociativo
2009-03-01,2009-M03,AND,SOC_ASO,82659.0,Mensual,SS_Asociativo
2009-04-01,2009-M04,AND,SOC_ASO,83350.25,Mensual,SS_Asociativo
2009-05-01,2009-M05,AND,SOC_ASO,83062.5,Mensual,SS_Asociativo
2009-06-01,2009-M06,AND,SOC_ASO,82704.55,Mensual,SS_Asociativo
2009-07-01,2009-M07,AND,SOC_ASO,82138.57,Mensual,SS_Asociativo
2009-08-01,2009-M08,AND,SOC_ASO,80736.86,Mensual,SS_Asociativo
2009-09-01,2009-M09,AND,SOC_ASO,80312.18,Mensual,SS_Asociativo
2009-10-01,2009-M10,AND,SOC_ASO,80964.0,Mensual,SS_Asociativo
2009-11-01,2009-M11,AND,SOC_ASO,81289.57,Mensual,SS_Asociativo
2009-12-01,2009-M12,AND,SOC_ASO,81369.26,Mensual,SS_Asociativo
2010-01-01,2010-M01,AND,SOC_ASO,80357.47,Mensual,SS_Asociativo
2010-02-01,2010-M02,AND,SOC_ASO,80602.15,Mensual,SS_Asociativo
2010-03-01,2010-M03,AND,SOC_ASO,81125.0,Mensual,SS_Asociativo
2010-04-01,2010-M04,AND,SOC_ASO,81783.95,Mensual,SS_Asociativo
2010-05-01,2010-M05,AND,SOC_ASO,82205.38,Mensual,SS_Asociativo
2010-06-01,2010-M06,AND,SOC_ASO,81920.64,Mensual,SS_Asociativo
2010-07-01,2010-M07,AND,SOC_ASO,81229.82,Mensual,SS_Asociativo
2010-08-01,2010-M08,AND,SOC_ASO,80246.27,Mensual,SS_Asociativo
2010-09-01,2010-M09,AND,SOC_ASO,79793.18,Mensual,SS_Asociativo
2010-10-01,2010-M10,AND,SOC_ASO,80183.25,Mensual,SS_Asociativo
2010-11-01,2010-M11,AND,SOC_ASO,80490.81,Mensual,SS_Asociativo
2010-12-01,2010-M12,AND,SOC_ASO,80224.79,Mensual,SS_Asociativo
2011-01-01,2011-M01,AND,SOC_ASO,79375.6,Mensual,SS_Asociativo
2011-02-01,2011-M02,AND,SOC_ASO,79550.7,Mensual,SS_Asociativo
2011-03-01,2011-M03,AND,SOC_ASO,80558.61,Mensual,SS_Asociativo
2011-04-01,2011-M04,AND,SOC_ASO,81375.21,Mensual,SS_Asociativo
2011-05-01,2011-M05,AND,SOC_ASO,80683.95,Mensual,SS_Asociativo
2011-06-01,2011-M06,AND,SOC_ASO,80379.73,Mensual,SS_Asociativo
2011-07-01,2011-M07,AND,SOC_ASO,80092.71,Mensual,SS_Asociativo
2011-08-01,2011-M08,AND,SOC_ASO,78906.45,Mensual,SS_Asociativo
2011-09-01,2011-M09,AND,SOC_ASO,78160.55,Mensual,SS_Asociativo
2011-10-01,2011-M10,AND,SOC_ASO,78375.2,Mensual,SS_Asociativo
2011-11-01,2011-M11,AND,SOC_ASO,78066.19,Mensual,SS_Asociativo
2011-12-01,2011-M12,AND,SOC_ASO,77702.75,Mensual,SS_Asociativo
2012-01-01,2012-M01,AND,SOC_ASO,76539.95,Mensual,SS_Asociativo
2012-02-01,2012-M02,AND,SOC_ASO,76487.76,Mensual,SS_Asociativo
2012-03-01,2012-M03,AND,SOC_ASO,76862.32,Mensual,SS_Asociativo
