Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2016-01-01,2016-ANUAL,AND,SOC_PAR_enlazado,68.2,Anual,Enlazado_Participacion
2017-01-01,2017-ANUAL,AND,SOC_PAR_enlazado,69.9,Anual,Enlazado_Participacion
2018-01-01,2018-ANUAL,AND,SOC_PAR_enlazado,71.6,Anual,Enlazado_Participacion
2019-01-01,2019-ANUAL,AND,SOC_PAR_enlazado,73.3,Anual,Enlazado_Participacion
2020-01-01,2020-ANUAL,AND,SOC_PAR_enlazado,72.2025,Anual,Enlazado_Participacion
2021-01-01,2021-ANUAL,AND,SOC_PAR_enlazado,71.10499999999999,Anual,Enlazado_Participacion
2022-01-01,2022-ANUAL,AND,SOC_PAR_enlazado,70.0075,Anual,Enlazado_Participacion
2023-01-01,2023-ANUAL,AND,SOC_PAR_enlazado,68.91,Anual,Enlazado_Participacion
2016-01-01,2016-ANUAL,ARA,SOC_PAR_enlazado,72.3,Anual,Enlazado_Participacion
2017-01-01,2017-ANUAL,ARA,SOC_PAR_enlazado,73.06666666666666,Anual,Enlazado_Participacion
2018-01-01,2018-ANUAL,ARA,SOC_PAR_enlazado,73.83333333333333,Anual,Enlazado_Participacion
2019-01-01,2019-ANUAL,ARA,SOC_PAR_enlazado,74.6,Anual,Enlazado_Participacion
2020-01-01,2020-ANUAL,ARA,SOC_PAR_enlazado,74.225,Anual,Enlazado_Participacion
2021-01-01,2021-ANUAL,ARA,SOC_PAR_enlazado,73.85,Anual,Enlazado_Participacion
2022-01-01,2022-ANUAL,ARA,SOC_PAR_enlazado,73.475,Anual,Enlazado_Participacion
2023-01-01,2023-ANUAL,ARA,SOC_PAR_enlazado,73.1,Anual,Enlazado_Participacion
2016-01-01,2016-ANUAL,AST,SOC_PAR_enlazado,71.1,Anual,Enlazado_Participacion
2017-01-01,2017-ANUAL,AST,SOC_PAR_enlazado,70.8,Anual,Enlazado_Participacion
2018-01-01,2018-ANUAL,AST,SOC_PAR_enlazado,70.5,Anual,Enlazado_Participacion
2019-01-01,2019-ANUAL,AST,SOC_PAR_enlazado,70.2,Anual,Enlazado_Participacion
2020-01-01,2020-ANUAL,AST,SOC_PAR_enlazado,70.4,Anual,Enlazado_Participacion
2021-01-01,2021-ANUAL,AST,SOC_PAR_enlazado,70.6,Anual,Enlazado_Participacion
2022-01-01,2022-ANUAL,AST,SOC_PAR_enlazado,70.8,Anual,Enlazado_Participacion
2023-01-01,2023-ANUAL,AST,SOC_PAR_enlazado,71.0,Anual,Enlazado_Participacion
2016-01-01,2016-ANUAL,BAL,SOC_PAR_enlazado,64.1,Anual,Enlazado_Participacion
2017-01-01,2017-ANUAL,BAL,SOC_PAR_enlazado,64.36666666666666,Anual,Enlazado_Participacion
2018-01-01,2018-ANUAL,BAL,SOC_PAR_enlazado,64.63333333333334,Anual,Enlazado_Participacion
2019-01-01,2019-ANUAL,BAL,SOC_PAR_enlazado,64.9,Anual,Enlazado_Participacion
2020-01-01,2020-ANUAL,BAL,SOC_PAR_enlazado,65.05000000000001,Anual,Enlazado_Participacion
2021-01-01,2021-ANUAL,BAL,SOC_PAR_enlazado,65.2,Anual,Enlazado_Participacion
2022-01-01,2022-ANUAL,BAL,SOC_PAR_enlazado,65.35,Anual,Enlazado_Participacion
2023-01-01,2023-ANUAL,BAL,SOC_PAR_enlazado,65.5,Anual,Enlazado_Participacion
2016-01-01,2016-ANUAL,CAN,SOC_PAR_enlazado,66.8,Anual,Enlazado_Participacion
2017-01-01,2017-ANUAL,CAN,SOC_PAR_enlazado,67.23333333333333,Anual,Enlazado_Participacion
2018-01-01,2018-ANUAL,CAN,SOC_PAR_enlazado,67.66666666666666,Anual,Enlazado_Participacion
2019-01-01,2019-ANUAL,CAN,SOC_PAR_enlazado,68.1,Anual,Enlazado_Participacion
2020-01-01,2020-ANUAL,CAN,SOC_PAR_enlazado,68.625,Anual,Enlazado_Participacion
2021-01-01,2021-ANUAL,CAN,SOC_PAR_enlazado,69.15,Anual,Enlazado_Participacion
2022-01-01,2022-ANUAL,CAN,SOC_PAR_enlazado,69.675,Anual,Enlazado_Participacion
2023-01-01,2023-ANUAL,CAN,SOC_PAR_enlazado,70.2,Anual,Enlazado_Participacion
2016-01-01,2016-ANUAL,CANT,SOC_PAR_enlazado,73.0,Anual,Enlazado_Participacion
2017-01-01,2017-ANUAL,CANT,SOC_PAR_enlazado,72.93333333333334,Anual,Enlazado_Participacion
2018-01-01,2018-ANUAL,CANT,SOC_PAR_enlazado,72.86666666666666,Anual,Enlazado_Participacion
2019-01-01,2019-ANUAL,CANT,SOC_PAR_enlazado,72.8,Anual,Enlazado_Participacion
2020-01-01,2020-ANUAL,CANT,SOC_PAR_enlazado,72.925,Anual,Enlazado_Participacion
2021-01-01,2021-ANUAL,CANT,SOC_PAR_enlazado,73.05,Anual,Enlazado_Participacion
