Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-ANUAL,AND,VID_ARO,28.3,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2011-01-01,2011-ANUAL,AND,VID_ARO,30.7,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2012-01-01,2012-ANUAL,AND,VID_ARO,28.3,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2013-01-01,2013-ANUAL,AND,VID_ARO,29.1,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2014-01-01,2014-ANUAL,AND,VID_ARO,33.3,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2015-01-01,2015-ANUAL,AND,VID_ARO,35.7,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2016-01-01,2016-ANUAL,AND,VID_ARO,35.4,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2017-01-01,2017-ANUAL,AND,VID_ARO,31.0,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2018-01-01,2018-ANUAL,AND,VID_ARO,32.0,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2019-01-01,2019-ANUAL,AND,VID_ARO,31.3,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2020-01-01,2020-ANUAL,AND,VID_ARO,28.5,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2021-01-01,2021-ANUAL,AND,VID_ARO,32.3,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2022-01-01,2022-ANUAL,AND,VID_ARO,29.1,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2023-01-01,2023-ANUAL,AND,VID_ARO,30.5,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2024-01-01,2024-ANUAL,AND,VID_ARO,29.2,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2025-01-01,2025-ANUAL,AND,VID_ARO,27.7,Anual,Andalucía. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2010-01-01,2010-ANUAL,ARA,VID_ARO,14.2,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2011-01-01,2011-ANUAL,ARA,VID_ARO,15.5,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2012-01-01,2012-ANUAL,ARA,VID_ARO,14.5,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2013-01-01,2013-ANUAL,ARA,VID_ARO,16.1,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2014-01-01,2014-ANUAL,ARA,VID_ARO,16.9,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2015-01-01,2015-ANUAL,ARA,VID_ARO,14.4,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2016-01-01,2016-ANUAL,ARA,VID_ARO,15.7,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2017-01-01,2017-ANUAL,ARA,VID_ARO,13.3,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2018-01-01,2018-ANUAL,ARA,VID_ARO,14.2,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2019-01-01,2019-ANUAL,ARA,VID_ARO,17.9,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2020-01-01,2020-ANUAL,ARA,VID_ARO,16.0,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2021-01-01,2021-ANUAL,ARA,VID_ARO,15.8,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2022-01-01,2022-ANUAL,ARA,VID_ARO,15.0,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2023-01-01,2023-ANUAL,ARA,VID_ARO,15.1,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2024-01-01,2024-ANUAL,ARA,VID_ARO,15.1,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2025-01-01,2025-ANUAL,ARA,VID_ARO,13.6,Anual,Aragón. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. 
2010-01-01,2010-ANUAL,AST,VID_ARO,11.5,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2011-01-01,2011-ANUAL,AST,VID_ARO,14.1,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2012-01-01,2012-ANUAL,AST,VID_ARO,13.0,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2013-01-01,2013-ANUAL,AST,VID_ARO,14.1,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2014-01-01,2014-ANUAL,AST,VID_ARO,16.7,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2015-01-01,2015-ANUAL,AST,VID_ARO,16.7,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2016-01-01,2016-ANUAL,AST,VID_ARO,13.4,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2017-01-01,2017-ANUAL,AST,VID_ARO,12.6,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
2018-01-01,2018-ANUAL,AST,VID_ARO,14.0,Anual,"Asturias, Principado de. Todas las edades. Tasa de riesgo de pobreza (renta del año anterior a la entrevista). Base 2013. "
