Fecha,Periodo,Region,Indicador,Valor,Frecuencia,Serie_Original
2010-01-01,2010-Q1,AND,VID_PAR,27.05,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2010-04-01,2010-Q2,AND,VID_PAR,27.62,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2010-07-01,2010-Q3,AND,VID_PAR,28.38,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2010-10-01,2010-Q4,AND,VID_PAR,28.04,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2011-01-01,2011-Q1,AND,VID_PAR,29.37,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2011-04-01,2011-Q2,AND,VID_PAR,29.45,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2011-07-01,2011-Q3,AND,VID_PAR,30.69,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2011-10-01,2011-Q4,AND,VID_PAR,31.01,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2012-01-01,2012-Q1,AND,VID_PAR,32.9,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2012-04-01,2012-Q2,AND,VID_PAR,33.59,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2012-07-01,2012-Q3,AND,VID_PAR,35.21,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2012-10-01,2012-Q4,AND,VID_PAR,35.71,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2013-01-01,2013-Q1,AND,VID_PAR,36.77,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2013-04-01,2013-Q2,AND,VID_PAR,35.67,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2013-07-01,2013-Q3,AND,VID_PAR,36.19,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2013-10-01,2013-Q4,AND,VID_PAR,36.26,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2014-01-01,2014-Q1,AND,VID_PAR,34.94,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2014-04-01,2014-Q2,AND,VID_PAR,34.74,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2014-07-01,2014-Q3,AND,VID_PAR,35.21,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2014-10-01,2014-Q4,AND,VID_PAR,34.23,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2015-01-01,2015-Q1,AND,VID_PAR,33.62,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2015-04-01,2015-Q2,AND,VID_PAR,30.98,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2015-07-01,2015-Q3,AND,VID_PAR,31.73,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2015-10-01,2015-Q4,AND,VID_PAR,29.83,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2016-01-01,2016-Q1,AND,VID_PAR,29.7,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2016-04-01,2016-Q2,AND,VID_PAR,29.07,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2016-07-01,2016-Q3,AND,VID_PAR,28.52,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2016-10-01,2016-Q4,AND,VID_PAR,28.25,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2017-01-01,2017-Q1,AND,VID_PAR,26.94,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2017-04-01,2017-Q2,AND,VID_PAR,25.24,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2017-07-01,2017-Q3,AND,VID_PAR,25.41,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2017-10-01,2017-Q4,AND,VID_PAR,24.43,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2018-01-01,2018-Q1,AND,VID_PAR,24.74,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2018-04-01,2018-Q2,AND,VID_PAR,23.09,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2018-07-01,2018-Q3,AND,VID_PAR,22.85,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2018-10-01,2018-Q4,AND,VID_PAR,21.26,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2019-01-01,2019-Q1,AND,VID_PAR,21.08,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2019-04-01,2019-Q2,AND,VID_PAR,21.04,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2019-07-01,2019-Q3,AND,VID_PAR,21.83,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2019-10-01,2019-Q4,AND,VID_PAR,20.8,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
2020-01-01,2020-Q1,AND,VID_PAR,21.21,Trimestral,Tasa de paro de la población. Ambos sexos. Andalucía. Todas las edades. 
