Periodo,CON_IDI_ESP,CON_IDI_AND,CON_IDI_ARA,CON_IDI_AST,CON_IDI_BAL,CON_IDI_CAN,CON_IDI_CANT,CON_IDI_CAT,CON_IDI_CLM,CON_IDI_CYL,CON_IDI_EXT,CON_IDI_GAL,CON_IDI_MAD,CON_IDI_MUR,CON_IDI_NAV,CON_IDI_PV,CON_IDI_RIO,CON_IDI_VAL,EDU_ABA_ESP,EDU_ABA_AND,EDU_ABA_ARA,EDU_ABA_AST,EDU_ABA_BAL,EDU_ABA_CAN,EDU_ABA_CANT,EDU_ABA_CAT,EDU_ABA_CLM,EDU_ABA_CYL,EDU_ABA_EXT,EDU_ABA_GAL,EDU_ABA_MAD,EDU_ABA_MUR,EDU_ABA_NAV,EDU_ABA_PV,EDU_ABA_RIO,EDU_ABA_VAL,EMP_NAT_ESP,EMP_NAT_AND,EMP_NAT_ARA,EMP_NAT_AST,EMP_NAT_BAL,EMP_NAT_CAN,EMP_NAT_CANT,EMP_NAT_CAT,EMP_NAT_CLM,EMP_NAT_CYL,EMP_NAT_EXT,EMP_NAT_GAL,EMP_NAT_MAD,EMP_NAT_MUR,EMP_NAT_NAV,EMP_NAT_PV,EMP_NAT_RIO,EMP_NAT_VAL,GOB_EFF_ESP,GOB_EFF_AND,GOB_EFF_ARA,GOB_EFF_AST,GOB_EFF_BAL,GOB_EFF_CAN,GOB_EFF_CANT,GOB_EFF_CAT,GOB_EFF_CLM,GOB_EFF_CYL,GOB_EFF_EXT,GOB_EFF_GAL,GOB_EFF_MAD,GOB_EFF_MUR,GOB_EFF_NAV,GOB_EFF_PV,GOB_EFF_RIO,GOB_EFF_VAL,INF_BAN_ESP,INF_BAN_AND,INF_BAN_ARA,INF_BAN_AST,INF_BAN_BAL,INF_BAN_CAN,INF_BAN_CANT,INF_BAN_CAT,INF_BAN_CLM,INF_BAN_CYL,INF_BAN_EXT,INF_BAN_GAL,INF_BAN_MAD,INF_BAN_MUR,INF_BAN_NAV,INF_BAN_PV,INF_BAN_RIO,INF_BAN_VAL,LIB_ODI_ESP,LIB_ODI_AND,LIB_ODI_ARA,LIB_ODI_AST,LIB_ODI_BAL,LIB_ODI_CAN,LIB_ODI_CANT,LIB_ODI_CAT,LIB_ODI_CLM,LIB_ODI_CYL,LIB_ODI_EXT,LIB_ODI_GAL,LIB_ODI_MAD,LIB_ODI_MUR,LIB_ODI_NAV,LIB_ODI_PV,LIB_ODI_RIO,LIB_ODI_VAL,SAL_ESP_ESP,SAL_ESP_AND,SAL_ESP_ARA,SAL_ESP_AST,SAL_ESP_BAL,SAL_ESP_CAN,SAL_ESP_CANT,SAL_ESP_CAT,SAL_ESP_CLM,SAL_ESP_CYL,SAL_ESP_EXT,SAL_ESP_GAL,SAL_ESP_MAD,SAL_ESP_MUR,SAL_ESP_NAV,SAL_ESP_PV,SAL_ESP_RIO,SAL_ESP_VAL,SOC_PAR_enlazado_ESP,SOC_PAR_enlazado_AND,SOC_PAR_enlazado_ARA,SOC_PAR_enlazado_AST,SOC_PAR_enlazado_BAL,SOC_PAR_enlazado_CAN,SOC_PAR_enlazado_CANT,SOC_PAR_enlazado_CAT,SOC_PAR_enlazado_CLM,SOC_PAR_enlazado_CYL,SOC_PAR_enlazado_EXT,SOC_PAR_enlazado_GAL,SOC_PAR_enlazado_MAD,SOC_PAR_enlazado_MUR,SOC_PAR_enlazado_NAV,SOC_PAR_enlazado_PV,SOC_PAR_enlazado_RIO,SOC_PAR_enlazado_VAL,VID_ARO_ESP,VID_ARO_AND,VID_ARO_ARA,VID_ARO_AST,VID_ARO_BAL,VID_ARO_CAN,VID_ARO_CANT,VID_ARO_CAT,VID_ARO_CLM,VID_ARO_CYL,VID_ARO_EXT,VID_ARO_GAL,VID_ARO_MAD,VID_ARO_MUR,VID_ARO_NAV,VID_ARO_PV,VID_ARO_RIO,VID_ARO_VAL
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.44,72.74,74.19,73.15,73.63,73.23,73.07,73.58,73.89,73.84,73.12,72.85,74.46,72.95,72.97,72.65,73.11,72.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.76,72.81,74.79,73.37,73.67,72.65,73.68,74.2,74.44,74.11,73.41,73.17,74.6,73.39,73.74,73.07,73.88,73.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.24,73.51,75.3,73.35,74.11,73.71,74.13,74.89,74.82,74.46,73.7,73.38,74.98,73.92,74.44,73.49,74.1,73.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.44,73.47,75.44,74.11,74.62,73.19,75.24,75.03,74.94,75.02,73.78,73.83,75.26,74.06,74.24,73.83,74.61,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.91,74.03,75.75,74.2,74.61,73.41,74.77,75.61,75.25,75.53,74.13,74.27,75.71,74.49,75.08,74.32,74.71,73.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.44,74.45,76.22,74.42,75.34,74.26,75.08,76.3,75.91,76.28,74.66,75.06,76.09,74.3,75.07,74.64,74.98,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.61,74.52,76.53,75.04,76.09,74.45,75.72,76.66,75.87,76.37,74.98,75.18,75.65,74.9,75.74,74.93,74.97,74.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22,74.96,77.05,75.13,75.76,74.79,76.09,77.17,76.68,77.18,75.8,75.63,76.61,75.45,75.72,75.74,76.22,75.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02,75.15,76.9,75.46,74.43,74.92,75.92,76.66,76.38,77.14,75.11,75.73,76.21,75.16,75.98,75.6,76.14,75.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.39,75.32,76.86,75.57,75.22,75.0,76.68,77.03,76.65,77.25,75.72,76.05,76.74,75.64,76.73,75.9,76.95,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
