Periodo,AUX_IPC_ESP,AUX_IPC_AND,AUX_IPC_ARA,AUX_IPC_AST,AUX_IPC_BAL,AUX_IPC_CAN,AUX_IPC_CANT,AUX_IPC_CAT,AUX_IPC_CLM,AUX_IPC_CYL,AUX_IPC_EXT,AUX_IPC_GAL,AUX_IPC_MAD,AUX_IPC_MUR,AUX_IPC_NAV,AUX_IPC_PV,AUX_IPC_RIO,AUX_IPC_VAL,CON_OCI_ESP,CON_OCI_AND,CON_OCI_ARA,CON_OCI_AST,CON_OCI_BAL,CON_OCI_CAN,CON_OCI_CANT,CON_OCI_CAT,CON_OCI_CLM,CON_OCI_CYL,CON_OCI_EXT,CON_OCI_GAL,CON_OCI_MAD,CON_OCI_MUR,CON_OCI_NAV,CON_OCI_PV,CON_OCI_RIO,CON_OCI_VAL,EMP_SOC_ESP,EMP_SOC_AND,EMP_SOC_ARA,EMP_SOC_AST,EMP_SOC_BAL,EMP_SOC_CAN,EMP_SOC_CANT,EMP_SOC_CAT,EMP_SOC_CLM,EMP_SOC_CYL,EMP_SOC_EXT,EMP_SOC_GAL,EMP_SOC_MAD,EMP_SOC_MUR,EMP_SOC_NAV,EMP_SOC_PV,EMP_SOC_RIO,EMP_SOC_VAL,GOB_DES_ESP,GOB_DES_AND,GOB_DES_ARA,GOB_DES_AST,GOB_DES_BAL,GOB_DES_CAN,GOB_DES_CANT,GOB_DES_CAT,GOB_DES_CLM,GOB_DES_CYL,GOB_DES_EXT,GOB_DES_GAL,GOB_DES_MAD,GOB_DES_MUR,GOB_DES_NAV,GOB_DES_PV,GOB_DES_RIO,GOB_DES_VAL,INF_TRA_ESP,INF_TRA_AND,INF_TRA_ARA,INF_TRA_AST,INF_TRA_BAL,INF_TRA_CAN,INF_TRA_CANT,INF_TRA_CAT,INF_TRA_CLM,INF_TRA_CYL,INF_TRA_EXT,INF_TRA_GAL,INF_TRA_MAD,INF_TRA_MUR,INF_TRA_NAV,INF_TRA_PV,INF_TRA_RIO,INF_TRA_VAL,INV_HIP_ESP,INV_HIP_AND,INV_HIP_ARA,INV_HIP_AST,INV_HIP_BAL,INV_HIP_CAN,INV_HIP_CANT,INV_HIP_CAT,INV_HIP_CLM,INV_HIP_CYL,INV_HIP_EXT,INV_HIP_GAL,INV_HIP_MAD,INV_HIP_MUR,INV_HIP_NAV,INV_HIP_PV,INV_HIP_RIO,INV_HIP_VAL,SOC_ASO_ESP,SOC_ASO_AND,SOC_ASO_ARA,SOC_ASO_AST,SOC_ASO_BAL,SOC_ASO_CAN,SOC_ASO_CANT,SOC_ASO_CAT,SOC_ASO_CLM,SOC_ASO_CYL,SOC_ASO_EXT,SOC_ASO_GAL,SOC_ASO_MAD,SOC_ASO_MUR,SOC_ASO_NAV,SOC_ASO_PV,SOC_ASO_RIO,SOC_ASO_VAL
2009-01-01,,,,,,,,,,,,,,,,,,,1177522.5,128178.9,27285.0,20435.2,20048.3,29930.9,9670.5,235540.2,22714.7,40665.9,12625.4,53509.4,373340.2,22326.4,13766.0,63077.8,5368.2,96702.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761023.5,115427.9,24219.4,17841.4,18505.7,29348.1,10694.8,141200.3,29483.4,39929.4,13750.1,46456.8,121288.5,21537.7,10937.9,38316.8,5425.7,75253.6
2009-02-01,,,,,,,,,,,,,,,,,,,1181278.3,128715.5,27632.5,20499.4,20094.5,29780.4,9706.5,236768.3,22651.3,40977.1,12653.7,53874.7,373763.2,22390.5,13799.4,63533.9,5386.5,96757.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755627.0,114461.4,24190.5,17713.4,18526.7,29124.8,10586.3,139946.0,29221.2,39936.7,13771.7,45873.8,121124.9,21334.7,10826.3,37945.6,5321.8,74288.6
2009-03-01,,,,,,,,,,,,,,,,,,,1184842.6,128899.4,27816.4,20547.0,20207.7,29835.0,9704.1,237214.4,22793.5,41303.8,12724.6,54052.4,374845.2,22423.6,13847.3,64258.2,5390.1,96646.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749784.1,114530.4,24035.0,17486.7,18552.0,28937.8,10472.9,137524.8,29038.7,39990.4,13725.2,45689.3,119915.5,21146.2,10812.3,37569.4,5310.5,73739.2
2009-04-01,,,,,,,,,,,,,,,,,,,1182759.9,128860.2,27728.1,20521.6,20325.4,29856.1,9665.2,236455.2,22772.9,41277.3,12900.5,54058.9,374030.9,22385.7,13883.2,64082.9,5379.299999999999,96216.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747399.9,115488.1,23954.1,17388.8,18836.1,28848.3,10486.2,136359.5,28993.3,39858.9,13760.4,45520.0,118982.0,20997.8,10787.2,37394.0,5320.5,73187.3
2009-05-01,,,,,,,,,,,,,,,,,,,1186023.7,128984.6,27839.0,20606.2,20484.5,29890.4,9690.9,236773.4,22782.0,41393.3,12918.5,53972.2,375976.4,22334.5,13889.9,64454.0,5383.200000000001,96231.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748529.3,115089.4,23956.7,17457.9,19569.6,28720.3,10511.1,136362.4,29132.3,39959.7,13974.2,45478.5,119086.0,21134.3,10802.6,37566.7,5280.2,73166.6
2009-06-01,,,,,,,,,,,,,,,,,,,1185086.3,129225.0,27943.5,20640.1,20660.2,29816.6,9756.2,236355.4,22824.9,41691.5,12891.8,53836.3,374903.8,22443.1,13893.8,64266.9,5371.4,96124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744664.0,114593.5,23680.6,17483.7,19798.9,28594.8,10549.6,134782.4,29056.0,39730.5,13968.5,45561.3,118695.8,20863.8,10766.0,37476.9,5240.7,72570.8
2009-07-01,,,,,,,,,,,,,,,,,,,1184084.2,130113.0,27939.6,20672.8,20778.3,29868.8,9793.3,235666.4,22833.3,41711.8,12877.3,53700.10000000001,373369.2,22619.8,13898.7,64066.0,5379.1,96367.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742869.0,113809.3,23698.5,17629.5,20167.6,28537.8,10756.2,133582.6,29256.1,39734.3,13873.7,46001.8,117409.5,20865.9,10676.8,37332.4,5263.1,73173.3
2009-08-01,,,,,,,,,,,,,,,,,,,1170241.4,129120.2,27641.9,20688.6,20565.8,29774.6,9709.0,231359.6,22680.9,41467.9,12959.9,53165.7,369166.2,22271.4,13846.6,63223.3,5347.1,94856.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733168.0,111867.1,23381.1,17571.5,19971.9,28574.3,10794.5,130444.8,29094.4,39746.6,13830.9,45672.9,115843.2,20631.2,10715.3,36504.2,5235.1,72311.4
2009-09-01,,,,,,,,,,,,,,,,,,,1174236.9,129503.8,27822.5,20720.1,20416.6,29727.5,9696.9,232346.8,22641.6,41420.4,12939.9,53072.4,371261.5,22270.5,13823.1,63461.8,5404.1,95323.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731631.4,111278.7,23414.9,17571.8,19483.9,28477.8,10628.5,131255.6,28954.3,39802.4,13886.8,45190.0,115690.3,20586.8,10591.0,36565.8,5207.7,72009.5
2009-10-01,,,,,,,,,,,,,,,,,,,1178697.5,129503.7,27875.9,20818.7,20294.7,29828.6,9698.8,234193.0,22692.0,41681.5,13129.8,52953.9,372758.8,22231.7,13837.7,63760.2,5459.1,95571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737040.6,112181.8,23717.2,17601.0,19195.1,28459.2,10491.4,132539.9,28945.9,40107.9,14027.2,45060.5,117123.5,20679.8,10731.3,37312.5,5249.9,72506.5
