Indicador,Dirección,Techo,Media_TopN,Delta_anual,N_regiones,Fiabilidad,Regiones_Base
CON_IDI,NOR,2.7179,2.3652,0.0705,18,BASE_2026Q1,"NAV, MAD, PV"
CON_OCI,NOR,67.0218,59.5313,1.4981,18,BASE_2026Q1,"MAD, CAT, PV"
ECO_COL_sal,NOR,1944.9173,1944.9173,-2.7578,18,BASE_2026Q1,"MAD, PV, CAT"
ECO_PIBpc,NOR,124.4037,113.8305,2.1146,18,BASE_2026Q1,"AND, GAL, EXT"
ECO_RBHpc,NOR,6022.4727,5505.0655,103.4814,18,BASE_2026Q1,"PV, MAD, NAV"
EDU_ABA,NOR,96.4392,94.4365,0.4005,18,BASE_2026Q1,"CANT, PV, AST"
EDU_SUP,NOR,0.0377,0.0359,0.0004,18,BASE_2026Q1,"PV, MAD, NAV"
EMP_NAT,NOR,819.6312,809.0984,2.1066,18,BASE_2026Q1,"BAL, CAT, CAN"
EMP_SOC,NOR,115.9465,95.994,3.9905,18,BASE_2026Q1,"MAD, BAL, CAT"
GOB_DES,INV,35.0,23.5276,0.6553,18,BASE_2026Q1,"CYL, CLM, CANT"
GOB_EFF,INV,14.1567,11.31,0.5693,18,BASE_2026Q1,"CLM, CAN, MUR"
INF_BAN,NOR,98.8195,96.1838,0.5271,18,BASE_2026Q1,"CAT, MAD, CAN"
INF_TRA,NOR,25.1261,18.7805,1.2691,18,BASE_2026Q1,"ARA, MAD, PV"
INV_HIP,NOR,430.7862,376.7243,10.8124,18,BASE_2026Q1,"CANT, AND, VAL"
INV_IED,NOR,13364.8973,9492.7535,774.4287,18,BASE_2026Q1,"MAD, ARA, RIO"
LIB_ODI,INV,11.1548,9.5711,0.3167,18,BASE_2026Q1,"NAV, PV, AST"
LIB_SEX,INV,18.0255,15.2222,0.5607,18,BASE_2026Q1,"BAL, NAV, CAT"
SAL_ESP,NOR,86.3078,85.4,0.1816,18,BASE_2026Q1,"MAD, NAV, CYL"
SAL_SAT_enlazado,NOR,6.5072,6.5072,-0.0489,18,BASE_2026Q1,"PV, MUR, GAL"
SEG_BAL,INV,620.9501,531.0352,17.983,18,BASE_2026Q1,"BAL, CAT, MAD"
SEG_CRI,INV,1785.8338,1501.4333,56.8801,18,BASE_2026Q1,"BAL, CAT, VAL"
SOC_ASO,NOR,19.3734,17.8484,0.305,18,BASE_2026Q1,"BAL, CAN, MAD"
SOC_PAR_enlazado,NOR,74.8453,74.5536,0.0583,18,BASE_2026Q1,"GAL, RIO, CLM"
VID_ARO,NOR,90.4794,89.3778,0.2203,18,BASE_2026Q1,"PV, NAV, CANT"
VID_PAR,NOR,95.9733,92.5301,0.6886,18,BASE_2026Q1,"CANT, MAD, PV"
